YYYY-MM,nCommits,nAuthors,timestamp
2015-05,13,1,1430438400
2015-06,10,1,1433116800
2015-07,1,1,1435708800
2015-08,1,1,1438387200
2015-09,33,1,1441065600
2015-10,34,3,1443657600
2015-11,75,5,1446336000
2015-12,71,5,1448928000
2016-01,48,4,1451606400
2016-02,22,3,1454284800
2016-03,65,4,1456790400
2016-04,32,2,1459468800
2016-05,5,1,1462060800
2016-06,39,4,1464739200
2016-07,57,6,1467331200
2016-08,120,5,1470009600
2016-09,61,4,1472688000
2016-10,13,3,1475280000
2016-11,40,4,1477958400
2016-12,64,6,1480550400
2017-01,127,8,1483228800
2017-02,15,4,1485907200
2017-03,25,4,1488326400
