YYYY-MM,nCommits,nAuthors,timestamp
2016-06,76,4,1464739200
2016-07,139,6,1467331200
2016-08,122,4,1470009600
2016-09,416,9,1472688000
2016-10,202,8,1475280000
2016-11,556,9,1477958400
2016-12,152,11,1480550400
2017-01,226,6,1483228800
2017-02,474,6,1485907200
2017-03,658,14,1488326400
2017-04,298,8,1491004800
2017-05,245,7,1493596800
2017-06,291,10,1496275200
2017-07,136,8,1498867200
2017-08,218,8,1501545600
2017-09,188,8,1504224000
2017-10,179,10,1506816000
2017-11,225,8,1509494400
2017-12,70,4,1512086400
2018-01,188,8,1514764800
2018-02,80,7,1517443200
2018-03,51,6,1519862400
2018-04,61,5,1522540800
2018-05,129,9,1525132800
2018-06,202,10,1527811200
2018-07,285,9,1530403200
2018-08,129,10,1533081600
2018-09,273,10,1535760000
2018-10,401,11,1538352000
2018-11,274,12,1541030400
2018-12,61,10,1543622400
2019-01,184,17,1546300800
2019-02,323,31,1548979200
2019-03,725,44,1551398400
2019-04,934,36,1554076800
2019-05,328,22,1556668800
2019-06,219,27,1559347200
2019-07,107,22,1561939200
2019-08,181,13,1564617600
2019-09,245,17,1567296000
2019-10,70,14,1569888000
