YYYY-MM,nCommits,nAuthors,timestamp
2013-07,13,3,1372636800
2013-08,14,3,1375315200
2013-09,2,1,1377993600
2013-10,8,1,1380585600
2013-11,30,3,1383264000
2013-12,54,5,1385856000
2014-01,129,8,1388534400
2014-02,7,2,1391212800
2014-03,8,2,1393632000
2014-04,10,3,1396310400
2014-05,10,4,1398902400
2014-06,18,4,1401580800
2014-07,15,3,1404172800
2014-08,14,1,1406851200
2014-09,24,4,1409529600
2014-10,21,4,1412121600
2014-11,10,2,1414800000
2014-12,48,5,1417392000
2015-01,32,5,1420070400
2015-02,29,4,1422748800
2015-03,37,5,1425168000
2015-04,30,3,1427846400
2015-05,16,1,1430438400
2015-06,17,1,1433116800
2015-07,20,8,1435708800
2015-08,26,5,1438387200
2015-09,28,3,1441065600
2015-10,24,4,1443657600
2015-11,3,2,1446336000
2015-12,21,3,1448928000
2016-01,71,5,1451606400
2016-02,60,5,1454284800
2016-03,48,2,1456790400
2016-04,52,3,1459468800
2016-05,28,1,1462060800
2016-06,16,1,1464739200
2016-07,18,1,1467331200
2016-08,31,1,1470009600
2016-09,17,2,1472688000
2016-10,11,2,1475280000
2104-11,5,1,4254940800
