YYYY-MM,nCommits,nAuthors,timestamp
2015-05,1,1,1430438400
2015-06,1,1,1433116800
2015-07,221,1,1435708800
2015-08,183,3,1438387200
2015-09,5,2,1441065600
2015-10,104,3,1443657600
2015-11,14,1,1446336000
2015-12,41,1,1448928000
2016-01,110,1,1451606400
2016-03,239,3,1456790400
2016-04,215,2,1459468800
2016-05,5,2,1462060800
2016-06,5,1,1464739200
2016-09,58,1,1472688000
2016-10,188,2,1475280000
2016-11,127,3,1477958400
2016-12,4,1,1480550400
2017-02,37,1,1485907200
2017-03,95,2,1488326400
2017-04,35,1,1491004800
2017-06,1,1,1496275200
2017-07,2,2,1498867200
2018-09,157,4,1535760000
2018-10,511,5,1538352000
2018-11,301,3,1541030400
2018-12,40,2,1543622400
2019-01,3,1,1546300800
2019-03,156,1,1551398400
2019-12,3,2,1575158400
