YYYY-MM,nCommits,nAuthors,timestamp
2009-06,110,11,1243814400
2009-07,450,13,1246406400
2009-08,127,5,1249084800
2009-09,137,7,1251763200
2009-10,102,8,1254355200
2009-11,102,5,1257033600
2009-12,37,4,1259625600
2010-01,101,5,1262304000
2010-02,111,3,1264982400
2010-03,164,4,1267401600
2010-04,39,3,1270080000
2010-05,30,6,1272672000
2010-06,29,6,1275350400
2010-07,10,1,1277942400
2010-08,4,2,1280620800
2010-09,2,1,1283299200
2010-10,13,1,1285891200
2010-11,11,2,1288569600
2010-12,17,2,1291161600
2011-01,13,3,1293840000
2011-02,4,2,1296518400
2011-03,26,3,1298937600
2011-04,13,4,1301616000
2011-05,11,3,1304208000
2011-06,5,1,1306886400
2011-07,3,2,1309478400
2011-08,10,4,1312156800
2011-09,3,2,1314835200
2011-10,7,3,1317427200
2011-11,10,2,1320105600
2011-12,1,1,1322697600
2012-03,2,1,1330560000
2012-04,3,1,1333238400
