YYYY-MM,nCommits,nAuthors,timestamp
2011-10,6,2,1317427200
2011-11,14,7,1320105600
2011-12,3,2,1322697600
2012-03,2,2,1330560000
2012-04,2,2,1333238400
2012-05,1,1,1335830400
2012-06,4,3,1338508800
2012-07,5,2,1341100800
2012-08,4,3,1343779200
2012-10,9,3,1349049600
2012-12,5,2,1354320000
2013-02,6,3,1359676800
2013-05,8,4,1367366400
2013-09,2,1,1377993600
2013-10,6,5,1380585600
2013-11,3,3,1383264000
2013-12,5,2,1385856000
2014-02,4,3,1391212800
2014-03,4,2,1393632000
2014-04,1,1,1396310400
2014-10,1,1,1412121600
2014-11,4,3,1414800000
2015-01,1,1,1420070400
2015-07,1,1,1435708800
2015-10,14,4,1443657600
2016-06,2,1,1464739200
2017-02,3,2,1485907200
2017-03,12,3,1488326400
2017-04,4,2,1491004800
2017-05,11,3,1493596800
2017-11,2,1,1509494400
2018-03,1,1,1519862400
2018-07,2,1,1530403200
