YYYY-MM,nCommits,nAuthors,timestamp
2001-12,1,1,1007164800
2003-01,1,1,1041379200
2003-07,1,1,1057017600
2004-02,3,2,1075593600
2004-03,2,1,1078099200
2004-06,1,1,1086048000
2004-08,1,1,1091318400
2004-09,1,1,1093996800
2004-10,1,1,1096588800
2004-12,1,1,1101859200
2005-01,1,1,1104537600
2005-02,1,1,1107216000
2005-04,2,1,1112313600
2005-05,1,1,1114905600
2005-12,3,2,1133395200
2006-01,2,1,1136073600
2006-03,1,1,1141171200
2006-08,3,1,1154390400
2007-04,1,1,1175385600
2007-07,6,2,1183248000
2007-09,4,2,1188604800
2007-11,2,1,1193875200
2008-02,6,1,1201824000
2008-05,2,1,1209600000
2008-10,6,2,1222819200
2008-11,2,1,1225497600
2009-02,2,1,1233446400
2009-03,2,1,1235865600
2009-05,4,1,1241136000
2009-06,2,1,1243814400
2009-08,2,1,1249084800
2009-11,2,1,1257033600
2009-12,2,1,1259625600
2010-01,2,1,1262304000
2010-04,2,1,1270080000
2010-09,2,1,1283299200
2014-12,2,1,1417392000
