YYYY-MM,nCommits,nAuthors,timestamp
2016-03,37,1,1456790400
2016-04,122,1,1459468800
2016-05,11,2,1462060800
2016-06,34,2,1464739200
2016-07,93,1,1467331200
2016-08,95,1,1470009600
2016-09,129,1,1472688000
2016-10,102,1,1475280000
2016-11,140,2,1477958400
2016-12,32,1,1480550400
2017-01,59,1,1483228800
2017-02,188,1,1485907200
2017-03,203,1,1488326400
2017-04,78,2,1491004800
2017-05,197,27,1493596800
2017-06,152,12,1496275200
2017-07,124,9,1498867200
2017-08,116,8,1501545600
2017-09,53,4,1504224000
2017-10,87,3,1506816000
2017-11,258,6,1509494400
2017-12,42,7,1512086400
2018-01,71,16,1514764800
2018-02,30,4,1517443200
2018-03,82,11,1519862400
2018-04,73,8,1522540800
2018-05,40,10,1525132800
2018-06,81,6,1527811200
2018-07,91,8,1530403200
2018-08,17,5,1533081600
2018-09,27,9,1535760000
2018-10,103,23,1538352000
2018-11,58,10,1541030400
2018-12,69,7,1543622400
2019-01,18,10,1546300800
2019-02,24,10,1548979200
2019-03,34,11,1551398400
2019-04,172,14,1554076800
2019-05,128,11,1556668800
2019-06,27,9,1559347200
2019-07,6,4,1561939200
