YYYY-MM,nCommits,nAuthors,timestamp
2011-05,1,1,1304208000
2011-09,17,1,1314835200
2011-10,6,1,1317427200
2011-11,10,1,1320105600
2011-12,1,1,1322697600
2012-01,3,2,1325376000
2012-02,8,2,1328054400
2012-03,9,1,1330560000
2012-04,20,2,1333238400
2012-08,1,1,1343779200
2012-09,22,3,1346457600
2012-10,1,1,1349049600
2012-11,3,2,1351728000
2012-12,2,1,1354320000
2013-01,5,1,1356998400
2013-02,1,1,1359676800
2013-03,1,1,1362096000
2013-04,1,1,1364774400
2013-05,1,1,1367366400
2013-06,2,1,1370044800
2013-07,3,2,1372636800
2013-08,3,3,1375315200
2013-09,4,2,1377993600
2013-10,17,3,1380585600
2013-11,33,2,1383264000
2013-12,2,1,1385856000
2014-01,6,3,1388534400
2014-02,27,2,1391212800
2014-05,3,1,1398902400
2014-06,3,2,1401580800
2014-07,5,2,1404172800
2014-08,26,4,1406851200
2014-09,1,1,1409529600
2014-10,12,3,1412121600
2014-11,10,4,1414800000
2014-12,6,4,1417392000
2015-01,7,3,1420070400
2015-02,5,1,1422748800
2015-03,3,2,1425168000
2015-04,3,2,1427846400
2015-05,10,2,1430438400
2015-06,14,2,1433116800
2015-07,13,3,1435708800
2015-08,4,2,1438387200
