YYYY-MM,nCommits,nAuthors,timestamp
2011-02,2,2,1296518400
2011-03,1,1,1298937600
2011-04,16,8,1301616000
2011-05,15,12,1304208000
2011-06,11,9,1306886400
2011-07,17,9,1309478400
2011-08,18,9,1312156800
2011-09,6,4,1314835200
2011-10,4,3,1317427200
2011-11,7,6,1320105600
2011-12,24,13,1322697600
2012-01,26,11,1325376000
2012-02,17,7,1328054400
2012-03,14,8,1330560000
2012-04,12,7,1333238400
2012-05,20,9,1335830400
2012-06,27,8,1338508800
2012-07,39,16,1341100800
2012-08,90,25,1343779200
2012-09,78,16,1346457600
2012-10,59,12,1349049600
2012-11,31,9,1351728000
2012-12,21,5,1354320000
2013-01,41,8,1356998400
2013-02,66,7,1359676800
2013-03,30,8,1362096000
2013-04,9,3,1364774400
2013-05,13,5,1367366400
2013-06,15,2,1370044800
2013-07,24,2,1372636800
2013-08,39,3,1375315200
2013-09,48,2,1377993600
2013-10,71,2,1380585600
2013-11,159,1,1383264000
2013-12,174,2,1385856000
2014-01,337,1,1388534400
2014-02,161,1,1391212800
2014-03,64,1,1393632000
2014-04,78,1,1396310400
2014-05,65,1,1398902400
2014-06,2,1,1401580800
2014-08,1,1,1406851200
