YYYY-MM,nCommits,nAuthors,timestamp
2016-05,2,1,1462060800
2016-07,5,2,1467331200
2016-08,3,3,1470009600
2016-11,1,1,1477958400
2016-12,2,2,1480550400
2017-03,1,1,1488326400
2017-04,4,4,1491004800
2017-05,12,10,1493596800
2017-06,4,4,1496275200
2017-07,2,2,1498867200
2017-08,4,3,1501545600
2017-09,12,12,1504224000
2017-10,8,8,1506816000
2017-11,2,2,1509494400
2017-12,7,4,1512086400
2018-01,8,6,1514764800
2018-02,2,2,1517443200
2018-03,6,5,1519862400
2018-04,7,5,1522540800
2018-05,2,2,1525132800
2018-06,2,1,1527811200
2018-07,2,2,1530403200
2018-08,2,2,1533081600
2018-09,7,7,1535760000
2018-11,4,2,1541030400
2018-12,2,2,1543622400
2019-01,3,3,1546300800
2019-02,2,2,1548979200
2019-04,2,2,1554076800
