YYYY-MM,nCommits,nAuthors,timestamp
2009-12,2,1,1259625600
2010-02,2,1,1264982400
2010-03,2,1,1267401600
2010-11,2,1,1288569600
2011-02,2,1,1296518400
2011-03,2,1,1298937600
2011-04,2,1,1301616000
2011-10,2,1,1317427200
2012-04,2,1,1333238400
2012-06,4,1,1338508800
2013-03,10,1,1362096000
2013-04,8,1,1364774400
2013-05,2,1,1367366400
2013-07,2,1,1372636800
2013-08,2,1,1375315200
2013-10,2,1,1380585600
2013-11,2,1,1383264000
2013-12,2,1,1385856000
2014-04,2,1,1396310400
2014-05,2,1,1398902400
2014-08,2,1,1406851200
2014-12,2,1,1417392000
2015-02,2,1,1422748800
2015-05,2,1,1430438400
2015-12,4,1,1448928000
2016-01,2,1,1451606400
2016-02,4,2,1454284800
2016-10,6,2,1475280000
2016-11,8,2,1477958400
2017-02,2,1,1485907200
2017-04,2,1,1491004800
2017-07,2,1,1498867200
2017-12,4,1,1512086400
2018-04,4,1,1522540800
2018-05,2,1,1525132800
2018-06,2,1,1527811200
2018-07,4,2,1530403200
