YYYY-MM,nCommits,nAuthors,timestamp
2013-05,4,2,1367366400
2013-06,15,6,1370044800
2013-07,12,5,1372636800
2013-08,2,1,1375315200
2013-09,7,3,1377993600
2013-10,10,2,1380585600
2013-11,6,1,1383264000
2014-01,2,1,1388534400
2014-02,14,1,1391212800
2014-03,2,1,1393632000
2014-04,8,2,1396310400
2014-06,2,1,1401580800
2014-08,7,2,1406851200
2014-10,2,1,1412121600
2014-11,6,2,1414800000
2014-12,2,1,1417392000
2015-01,2,1,1420070400
2016-05,2,1,1462060800
2018-03,2,1,1519862400
2018-12,1,1,1543622400
