YYYY-MM,nCommits,nAuthors,timestamp
2004-01,136,1,1072915200
2004-02,141,2,1075593600
2004-03,56,2,1078099200
2004-04,139,2,1080777600
2004-05,215,2,1083369600
2004-06,24,1,1086048000
2004-07,86,2,1088640000
2004-08,95,2,1091318400
2004-09,90,1,1093996800
2004-10,126,1,1096588800
2004-11,43,3,1099267200
2004-12,61,2,1101859200
2005-01,52,3,1104537600
2005-02,17,1,1107216000
2005-03,33,3,1109635200
2005-04,78,4,1112313600
2005-05,96,4,1114905600
2005-06,51,2,1117584000
2005-07,50,3,1120176000
2005-08,70,2,1122854400
2005-09,21,3,1125532800
2005-10,39,3,1128124800
2005-11,55,3,1130803200
2005-12,3,1,1133395200
2006-01,9,2,1136073600
2006-02,91,2,1138752000
2006-03,67,3,1141171200
2006-04,48,2,1143849600
2006-05,15,3,1146441600
2006-06,41,2,1149120000
2006-08,23,2,1154390400
2006-09,27,2,1157068800
2006-10,4,2,1159660800
2006-11,14,3,1162339200
2006-12,13,1,1164931200
2007-01,11,2,1167609600
2007-02,35,5,1170288000
2007-03,16,2,1172707200
2007-04,21,4,1175385600
2007-05,45,3,1177977600
2007-06,92,2,1180656000
2007-07,20,2,1183248000
2007-08,23,2,1185926400
2007-09,51,1,1188604800
2007-10,38,3,1191196800
2007-11,15,3,1193875200
2007-12,24,3,1196467200
2008-01,37,4,1199145600
2008-02,36,5,1201824000
2008-03,20,3,1204329600
2008-04,32,3,1207008000
2008-05,55,3,1209600000
2008-06,33,3,1212278400
2008-07,15,2,1214870400
2008-08,2,1,1217548800
2008-09,6,3,1220227200
2008-10,24,3,1222819200
2008-11,10,2,1225497600
2008-12,7,2,1228089600
2009-01,139,5,1230768000
2009-02,48,3,1233446400
2009-03,16,2,1235865600
2009-04,2,1,1238544000
2009-06,23,2,1243814400
2009-07,53,2,1246406400
2009-08,11,2,1249084800
2009-09,11,2,1251763200
2009-10,41,1,1254355200
2009-11,20,2,1257033600
2009-12,7,1,1259625600
2010-01,1,1,1262304000
2010-02,16,1,1264982400
2010-03,8,1,1267401600
2010-04,21,1,1270080000
2010-05,85,2,1272672000
2010-06,172,1,1275350400
2010-07,120,2,1277942400
2010-08,85,3,1280620800
2010-09,14,3,1283299200
2010-10,56,2,1285891200
2010-11,8,2,1288569600
2010-12,33,2,1291161600
2011-01,88,2,1293840000
2011-02,44,2,1296518400
2011-03,16,2,1298937600
2011-04,4,2,1301616000
2011-05,9,3,1304208000
2011-06,1,1,1306886400
2011-07,25,4,1309478400
2011-08,24,3,1312156800
2011-09,26,2,1314835200
2011-10,30,3,1317427200
2011-11,13,2,1320105600
2011-12,3,2,1322697600
2012-01,21,4,1325376000
2012-03,8,3,1330560000
2012-04,22,1,1333238400
2012-05,19,1,1335830400
2012-06,2,2,1338508800
2012-07,15,4,1341100800
2012-08,3,2,1343779200
2012-09,5,3,1346457600
2012-10,33,3,1349049600
2012-11,33,3,1351728000
2012-12,5,2,1354320000
2013-01,11,2,1356998400
2013-02,2,2,1359676800
2013-03,9,1,1362096000
2013-04,16,4,1364774400
2013-05,17,2,1367366400
2013-06,24,6,1370044800
2013-07,1,1,1372636800
2014-07,1,1,1404172800
