YYYY-MM,nCommits,nAuthors,timestamp
2014-09,12,3,1409529600
2014-10,80,5,1412121600
2014-11,57,3,1414800000
2014-12,13,2,1417392000
2015-01,31,2,1420070400
2015-02,23,1,1422748800
2015-03,46,4,1425168000
2015-04,78,3,1427846400
2015-05,16,3,1430438400
2015-06,53,3,1433116800
2015-07,22,1,1435708800
2015-08,27,2,1438387200
2015-09,33,4,1441065600
2015-10,83,4,1443657600
2015-11,66,4,1446336000
2015-12,53,2,1448928000
2016-01,170,6,1451606400
2016-02,97,4,1454284800
2016-03,150,4,1456790400
2016-04,137,5,1459468800
2016-05,157,4,1462060800
2016-06,136,4,1464739200
2016-07,179,5,1467331200
2016-08,193,3,1470009600
2016-09,152,5,1472688000
2016-10,225,5,1475280000
2016-11,221,4,1477958400
2016-12,85,6,1480550400
2017-01,216,5,1483228800
2017-02,45,2,1485907200
2017-03,70,3,1488326400
2017-04,74,3,1491004800
2017-05,139,5,1493596800
2017-06,163,5,1496275200
2017-07,228,6,1498867200
2017-08,349,3,1501545600
2017-09,222,4,1504224000
2017-10,319,4,1506816000
2017-11,290,3,1509494400
2017-12,192,3,1512086400
2018-01,221,4,1514764800
2018-02,271,5,1517443200
2018-03,291,6,1519862400
2018-04,389,6,1522540800
2018-05,212,6,1525132800
2018-06,212,4,1527811200
2018-07,97,6,1530403200
2018-08,325,13,1533081600
2018-09,396,12,1535760000
2018-10,537,12,1538352000
2018-11,570,10,1541030400
2018-12,419,11,1543622400
2019-01,823,11,1546300800
2019-02,442,12,1548979200
2019-03,528,12,1551398400
2019-04,321,11,1554076800
2019-05,341,12,1556668800
2019-06,308,11,1559347200
2019-07,371,9,1561939200
2019-08,200,9,1564617600
2019-09,162,8,1567296000
2019-10,306,11,1569888000
2019-11,193,11,1572566400
2019-12,146,8,1575158400
2020-01,164,6,1577836800
2020-02,140,8,1580515200
2020-03,145,8,1583020800
2020-04,301,10,1585699200
2020-05,161,8,1588291200
2020-06,189,8,1590969600
2020-07,236,9,1593561600
2020-08,298,10,1596240000
