YYYY-MM,nCommits,nAuthors,timestamp
2000-11,26,1,973036800
2000-12,9,1,975628800
2001-01,22,1,978307200
2001-02,7,1,980985600
2001-03,9,1,983404800
2001-04,18,1,986083200
2001-05,22,1,988675200
2001-06,38,1,991353600
2001-07,31,1,993945600
2001-08,66,2,996624000
2001-09,38,1,999302400
2001-10,40,2,1001894400
2001-11,51,1,1004572800
2001-12,45,1,1007164800
2002-01,36,2,1009843200
2002-02,49,1,1012521600
2002-03,63,2,1014940800
2002-04,38,3,1017619200
2002-05,80,1,1020211200
2002-06,24,1,1022889600
2002-07,63,1,1025481600
2002-08,24,1,1028160000
2002-09,128,1,1030838400
2002-10,117,2,1033430400
2002-11,47,1,1036108800
2002-12,55,2,1038700800
2003-01,72,1,1041379200
2003-02,74,2,1044057600
2003-03,36,1,1046476800
2003-04,37,1,1049155200
2003-05,31,1,1051747200
2003-06,73,1,1054425600
2003-07,60,1,1057017600
2003-08,73,2,1059696000
2003-09,139,2,1062374400
2003-10,31,1,1064966400
2003-11,123,1,1067644800
2003-12,72,2,1070236800
2004-01,59,2,1072915200
2004-02,34,1,1075593600
2004-03,61,1,1078099200
2004-04,24,1,1080777600
2004-05,27,1,1083369600
2004-06,31,2,1086048000
2004-07,22,1,1088640000
2004-08,18,1,1091318400
2004-09,11,1,1093996800
2004-10,19,1,1096588800
2004-11,17,1,1099267200
2004-12,27,1,1101859200
2005-01,33,2,1104537600
2005-02,49,2,1107216000
2005-03,15,1,1109635200
2005-04,17,1,1112313600
2005-05,20,1,1114905600
2005-06,15,1,1117584000
2005-07,7,2,1120176000
2005-08,17,1,1122854400
2005-09,11,2,1125532800
2005-10,16,1,1128124800
2005-11,27,2,1130803200
2005-12,24,2,1133395200
2006-01,10,1,1136073600
2006-02,2,1,1138752000
2006-03,10,1,1141171200
2006-04,6,1,1143849600
2006-05,13,1,1146441600
2006-06,10,1,1149120000
2006-07,16,1,1151712000
2006-08,1,1,1154390400
2006-09,6,1,1157068800
2006-10,5,2,1159660800
2006-11,5,1,1162339200
2006-12,8,2,1164931200
2007-01,2,1,1167609600
2007-02,2,1,1170288000
2007-03,5,1,1172707200
2007-04,3,1,1175385600
2007-05,2,1,1177977600
2007-06,2,1,1180656000
2007-07,12,2,1183248000
2007-08,5,1,1185926400
2007-09,4,1,1188604800
2007-10,9,1,1191196800
2007-11,6,1,1193875200
2007-12,1,1,1196467200
2008-01,2,1,1199145600
2008-02,13,1,1201824000
2008-03,3,1,1204329600
2008-04,26,1,1207008000
2008-05,1,1,1209600000
2008-06,2,1,1212278400
2008-07,16,1,1214870400
2008-08,7,1,1217548800
2008-09,14,1,1220227200
2008-10,11,1,1222819200
2008-11,23,2,1225497600
2008-12,11,1,1228089600
2009-01,2,1,1230768000
2009-02,2,1,1233446400
2009-03,2,1,1235865600
2009-04,2,1,1238544000
2009-05,14,1,1241136000
2009-06,7,1,1243814400
2009-07,4,1,1246406400
2009-08,12,1,1249084800
2009-09,17,1,1251763200
2009-10,17,2,1254355200
2009-11,3,1,1257033600
2009-12,8,1,1259625600
2010-01,1,1,1262304000
2010-02,2,1,1264982400
2010-03,6,1,1267401600
2010-04,16,2,1270080000
2010-05,27,2,1272672000
2010-06,9,2,1275350400
2010-07,3,2,1277942400
2010-08,21,1,1280620800
2010-09,2,1,1283299200
2010-10,1,1,1285891200
2010-11,1,1,1288569600
2010-12,4,1,1291161600
2011-01,5,1,1293840000
2011-02,3,1,1296518400
2011-03,1,1,1298937600
2011-04,1,1,1301616000
2011-07,1,1,1309478400
2011-08,6,1,1312156800
2011-09,1,1,1314835200
2011-11,6,2,1320105600
2011-12,5,1,1322697600
2012-01,2,1,1325376000
2012-02,4,1,1328054400
2012-03,2,1,1330560000
2012-06,1,1,1338508800
2012-08,2,1,1343779200
2012-09,1,1,1346457600
2012-10,11,1,1349049600
2012-11,2,1,1351728000
2012-12,6,1,1354320000
2013-01,3,1,1356998400
2013-02,5,1,1359676800
2013-03,5,1,1362096000
2013-04,1,1,1364774400
2013-05,2,1,1367366400
2013-06,3,1,1370044800
2013-07,7,1,1372636800
2013-08,9,1,1375315200
2013-09,2,1,1377993600
2013-10,6,2,1380585600
2013-11,7,1,1383264000
2013-12,8,1,1385856000
2014-01,37,2,1388534400
2014-02,15,2,1391212800
2014-03,5,1,1393632000
2014-04,6,1,1396310400
2014-06,1,1,1401580800
2014-07,10,1,1404172800
2014-09,3,1,1409529600
2014-10,1,1,1412121600
2014-11,2,2,1414800000
2014-12,2,1,1417392000
2015-01,3,1,1420070400
2015-03,3,1,1425168000
2015-04,3,1,1427846400
2015-05,1,1,1430438400
2015-06,5,3,1433116800
2015-07,8,2,1435708800
2015-08,6,2,1438387200
2015-09,10,1,1441065600
2015-10,5,4,1443657600
2015-11,4,1,1446336000
2015-12,1,1,1448928000
2016-01,7,2,1451606400
2016-02,2,1,1454284800
2016-03,7,2,1456790400
2016-04,16,2,1459468800
2016-05,1,1,1462060800
2016-06,3,3,1464739200
2016-08,3,1,1470009600
2016-09,9,2,1472688000
2016-10,3,3,1475280000
2016-11,5,1,1477958400
2016-12,7,1,1480550400
2017-02,8,2,1485907200
2017-09,1,1,1504224000
2017-10,1,1,1506816000
2017-12,3,1,1512086400
2018-01,3,1,1514764800
