YYYY-MM,nCommits,nAuthors,timestamp
2011-01,1,1,1293840000
2012-03,13,4,1330560000
2012-04,35,7,1333238400
2012-05,21,7,1335830400
2012-06,50,2,1338508800
2012-07,120,6,1341100800
2012-08,51,4,1343779200
2012-09,26,5,1346457600
2012-10,4,3,1349049600
2012-11,25,3,1351728000
2012-12,148,7,1354320000
2013-01,73,6,1356998400
2013-02,57,11,1359676800
2013-03,23,6,1362096000
2013-04,56,10,1364774400
2013-05,18,5,1367366400
2013-06,33,3,1370044800
2013-07,45,7,1372636800
2013-08,22,7,1375315200
2013-09,15,4,1377993600
2013-10,25,7,1380585600
2013-11,37,12,1383264000
2013-12,38,10,1385856000
2014-01,67,9,1388534400
2014-02,39,6,1391212800
2014-03,20,5,1393632000
2014-04,16,6,1396310400
2014-05,15,6,1398902400
2014-06,28,6,1401580800
2014-07,28,9,1404172800
2014-08,21,6,1406851200
2014-09,19,6,1409529600
2014-10,17,8,1412121600
2014-11,32,6,1414800000
2014-12,46,5,1417392000
2015-01,26,5,1420070400
2015-02,10,2,1422748800
2015-03,18,8,1425168000
2015-04,12,4,1427846400
2015-05,14,5,1430438400
2015-06,26,12,1433116800
2015-07,9,4,1435708800
2015-08,10,7,1438387200
2015-09,1,1,1441065600
2015-10,13,8,1443657600
2015-11,8,4,1446336000
2015-12,6,2,1448928000
