YYYY-MM,nCommits,nAuthors,timestamp
2014-07,100,11,1404172800
2014-08,57,12,1406851200
2014-09,24,7,1409529600
2014-10,20,8,1412121600
2014-11,38,7,1414800000
2014-12,10,4,1417392000
2015-01,9,3,1420070400
2015-02,8,3,1422748800
2015-03,12,6,1425168000
2015-04,11,4,1427846400
2015-05,35,11,1430438400
2015-06,20,9,1433116800
2015-07,28,10,1435708800
2015-08,21,7,1438387200
2015-09,31,7,1441065600
2015-10,35,7,1443657600
2015-11,24,8,1446336000
2015-12,13,5,1448928000
2016-01,6,6,1451606400
2016-02,19,7,1454284800
2016-03,2,2,1456790400
2016-04,3,2,1459468800
2016-05,3,3,1462060800
2016-06,1,1,1464739200
2016-07,5,2,1467331200
2016-08,4,3,1470009600
2016-09,2,2,1472688000
2016-10,22,5,1475280000
2016-11,10,5,1477958400
2016-12,5,4,1480550400
2017-01,16,7,1483228800
2017-02,1,1,1485907200
2017-03,7,5,1488326400
2017-04,6,4,1491004800
2017-05,3,3,1493596800
2017-06,9,4,1496275200
2017-07,17,7,1498867200
2017-08,16,8,1501545600
2017-09,5,3,1504224000
2017-10,14,6,1506816000
2017-11,10,5,1509494400
2017-12,1,1,1512086400
2018-01,18,9,1514764800
2018-02,2,2,1517443200
2018-03,1,1,1519862400
2018-04,10,6,1522540800
2018-05,6,4,1525132800
2018-06,16,3,1527811200
2018-07,5,4,1530403200
2018-08,7,3,1533081600
2018-09,7,2,1535760000
2018-10,3,2,1538352000
2018-11,2,2,1541030400
2018-12,2,2,1543622400
2019-01,2,2,1546300800
2019-02,2,2,1548979200
2019-03,1,1,1551398400
