YYYY-MM,nCommits,nAuthors,timestamp
1969-12,12,1,-2678400
2014-08,47,4,1406851200
2014-09,432,14,1409529600
2014-10,474,19,1412121600
2014-11,572,20,1414800000
2014-12,401,22,1417392000
2015-01,257,18,1420070400
2015-02,323,22,1422748800
2015-03,658,32,1425168000
2015-04,795,32,1427846400
2015-05,599,36,1430438400
2015-06,758,35,1433116800
2015-07,701,39,1435708800
2015-08,789,35,1438387200
2015-09,940,38,1441065600
2015-10,807,42,1443657600
2015-11,1211,47,1446336000
2015-12,1256,43,1448928000
2016-01,504,33,1451606400
2016-02,795,34,1454284800
2016-03,498,36,1456790400
2016-04,521,34,1459468800
2016-05,453,35,1462060800
2016-06,520,41,1464739200
2016-07,1167,45,1467331200
2016-08,1064,45,1470009600
2016-09,1060,46,1472688000
2016-10,1065,42,1475280000
2016-11,1224,43,1477958400
2016-12,1343,42,1480550400
2017-01,991,45,1483228800
2017-02,948,40,1485907200
2017-03,1711,43,1488326400
2017-04,4661,43,1491004800
2017-05,2049,47,1493596800
2017-06,1645,45,1496275200
2017-07,1181,47,1498867200
2017-08,1581,51,1501545600
2017-09,1819,51,1504224000
2017-10,2477,51,1506816000
2017-11,4462,56,1509494400
2017-12,3842,53,1512086400
2018-01,5208,57,1514764800
2018-02,4738,49,1517443200
2018-03,5318,47,1519862400
2018-04,4730,52,1522540800
2018-05,5584,52,1525132800
2018-06,5066,50,1527811200
2018-07,5340,50,1530403200
2018-08,5066,55,1533081600
2018-09,4796,52,1535760000
2018-10,4900,52,1538352000
2018-11,5480,52,1541030400
2018-12,4310,50,1543622400
2019-01,4236,48,1546300800
2019-02,5282,48,1548979200
2019-03,5030,49,1551398400
2019-04,4622,51,1554076800
2019-05,5380,50,1556668800
2019-06,494,32,1559347200
