YYYY-MM,nCommits,nAuthors,timestamp
2011-11,92,4,1320105600
2011-12,519,6,1322697600
2012-01,500,5,1325376000
2012-02,1172,6,1328054400
2012-03,2744,5,1330560000
2012-04,1406,6,1333238400
2012-05,1320,6,1335830400
2012-06,2784,6,1338508800
2012-07,2894,5,1341100800
2012-08,1614,4,1343779200
2012-09,1340,3,1346457600
2012-10,2030,6,1349049600
2012-11,1272,3,1351728000
2012-12,1454,3,1354320000
2013-01,646,3,1356998400
2013-02,1029,3,1359676800
2013-03,1006,3,1362096000
2013-04,1209,4,1364774400
2013-05,1136,7,1367366400
2013-06,850,3,1370044800
2013-07,317,3,1372636800
2013-08,1305,3,1375315200
2013-09,1609,3,1377993600
2013-10,725,3,1380585600
2013-11,633,2,1383264000
2013-12,497,3,1385856000
2014-01,837,4,1388534400
2014-02,521,5,1391212800
2014-03,912,5,1393632000
2014-04,1107,4,1396310400
2014-05,327,4,1398902400
2014-06,947,4,1401580800
2014-07,883,4,1404172800
2014-08,971,5,1406851200
2014-09,807,5,1409529600
2014-10,1151,9,1412121600
2014-11,887,8,1414800000
2014-12,1295,8,1417392000
2015-01,545,7,1420070400
2015-02,691,7,1422748800
2015-03,867,5,1425168000
2015-04,673,5,1427846400
2015-05,96,4,1430438400
2015-06,16,1,1433116800
2015-07,464,1,1435708800
2015-08,328,1,1438387200
2015-09,113,2,1441065600
2015-10,247,3,1443657600
2015-11,71,3,1446336000
2015-12,149,3,1448928000
2016-01,477,3,1451606400
2016-02,236,2,1454284800
2016-03,179,3,1456790400
2016-04,258,5,1459468800
2016-05,302,5,1462060800
2016-06,532,6,1464739200
2016-07,313,6,1467331200
2016-08,419,5,1470009600
2016-09,450,6,1472688000
2016-10,369,6,1475280000
2016-11,497,8,1477958400
2016-12,296,6,1480550400
2017-01,239,6,1483228800
2017-02,296,6,1485907200
2017-03,196,7,1488326400
2017-04,176,7,1491004800
2017-05,72,8,1493596800
2017-06,114,5,1496275200
2017-07,30,6,1498867200
