YYYY-MM,nCommits,nAuthors,timestamp
2006-10,1,1,1159660800
2006-11,78,2,1162339200
2006-12,78,2,1164931200
2007-01,521,4,1167609600
2007-02,517,6,1170288000
2007-03,201,5,1172707200
2007-04,238,3,1175385600
2007-05,144,6,1177977600
2007-06,617,8,1180656000
2007-07,255,10,1183248000
2007-08,186,8,1185926400
2007-09,141,14,1188604800
2007-10,157,8,1191196800
2007-11,210,11,1193875200
2007-12,188,10,1196467200
2008-01,243,10,1199145600
2008-02,233,9,1201824000
2008-03,179,9,1204329600
2008-04,184,9,1207008000
2008-05,269,7,1209600000
2008-06,253,8,1212278400
2008-07,240,7,1214870400
2008-08,275,8,1217548800
2008-09,58,6,1220227200
2008-10,184,6,1222819200
2008-11,150,3,1225497600
2008-12,52,3,1228089600
2009-01,221,4,1230768000
2009-02,177,4,1233446400
2009-03,162,3,1235865600
2009-04,158,4,1238544000
2009-05,163,4,1241136000
2009-06,445,8,1243814400
2009-07,261,8,1246406400
2009-08,179,5,1249084800
2009-09,87,5,1251763200
2009-10,45,4,1254355200
2009-11,205,5,1257033600
2009-12,138,5,1259625600
2010-01,31,4,1262304000
2010-07,17,3,1277942400
2010-08,2,1,1280620800
2010-10,1,1,1285891200
2010-11,1,1,1288569600
2010-12,7,3,1291161600
2011-01,1,1,1293840000
2011-06,12,1,1306886400
2011-07,5,2,1309478400
2011-08,1,1,1312156800
2011-09,8,1,1314835200
2011-10,31,4,1317427200
2011-11,46,4,1320105600
2011-12,67,7,1322697600
2012-01,93,3,1325376000
2012-02,15,2,1328054400
2012-03,13,2,1330560000
2012-04,56,3,1333238400
2012-05,31,5,1335830400
2012-06,4,3,1338508800
2012-07,26,4,1341100800
2012-08,65,6,1343779200
2012-09,95,5,1346457600
2012-10,93,9,1349049600
2012-11,50,5,1351728000
2012-12,113,9,1354320000
2013-01,116,5,1356998400
2013-02,70,6,1359676800
2013-03,182,9,1362096000
2013-04,209,9,1364774400
2013-05,29,4,1367366400
2013-06,69,4,1370044800
2013-07,82,3,1372636800
2013-08,72,5,1375315200
2013-09,85,4,1377993600
2013-10,59,5,1380585600
2013-11,45,4,1383264000
2013-12,61,5,1385856000
2014-01,85,5,1388534400
2014-02,10,1,1391212800
2014-03,125,3,1393632000
2014-04,70,6,1396310400
2014-05,42,4,1398902400
2014-06,39,4,1401580800
2014-07,49,3,1404172800
2014-08,16,3,1406851200
2014-09,17,2,1409529600
2014-10,26,4,1412121600
2014-11,74,4,1414800000
2014-12,31,3,1417392000
2015-01,31,2,1420070400
2015-02,29,2,1422748800
2015-03,10,3,1425168000
2015-04,4,2,1427846400
2015-05,13,2,1430438400
2015-06,23,1,1433116800
2015-08,20,4,1438387200
2015-09,10,2,1441065600
2015-10,27,2,1443657600
2015-11,19,4,1446336000
2015-12,63,4,1448928000
2016-01,67,9,1451606400
2016-02,69,4,1454284800
2016-03,50,6,1456790400
2016-04,7,4,1459468800
2016-05,24,4,1462060800
2016-06,165,6,1464739200
2016-07,41,4,1467331200
2016-08,10,3,1470009600
2016-09,23,5,1472688000
2016-10,41,4,1475280000
2016-11,16,3,1477958400
2016-12,19,3,1480550400
2017-01,76,4,1483228800
2017-02,24,3,1485907200
2017-03,17,4,1488326400
2017-04,23,2,1491004800
2017-05,20,2,1493596800
2017-06,6,2,1496275200
2017-07,8,2,1498867200
2017-08,25,3,1501545600
2017-09,14,2,1504224000
2017-10,5,2,1506816000
2017-11,23,2,1509494400
2017-12,9,2,1512086400
2018-01,10,2,1514764800
2018-02,2,1,1517443200
2018-03,5,2,1519862400
2018-04,13,2,1522540800
2018-05,42,2,1525132800
2018-06,28,1,1527811200
2018-07,36,2,1530403200
2018-08,44,2,1533081600
2018-09,51,3,1535760000
2018-10,58,2,1538352000
2018-11,45,2,1541030400
2018-12,49,5,1543622400
2019-01,103,4,1546300800
2019-02,30,2,1548979200
2019-03,19,2,1551398400
2019-04,69,5,1554076800
2019-05,55,6,1556668800
2019-06,17,1,1559347200
2019-07,5,1,1561939200
2019-08,2,1,1564617600
2019-09,22,1,1567296000
2019-10,24,3,1569888000
2019-11,21,1,1572566400
2019-12,49,2,1575158400
2020-01,46,2,1577836800
2020-02,16,2,1580515200
2020-03,7,2,1583020800
2020-04,26,2,1585699200
2020-05,124,7,1588291200
2020-06,117,8,1590969600
2020-07,48,4,1593561600
2020-08,16,5,1596240000
