YYYY-MM,nCommits,nAuthors,timestamp
2004-08,52,2,1091318400
2004-09,33,1,1093996800
2004-10,21,1,1096588800
2004-11,10,1,1099267200
2004-12,7,1,1101859200
2005-01,9,1,1104537600
2005-02,66,2,1107216000
2005-03,22,3,1109635200
2005-04,34,3,1112313600
2005-05,21,3,1114905600
2005-06,4,2,1117584000
2005-07,3,1,1120176000
2005-08,15,2,1122854400
2005-09,38,3,1125532800
2005-10,34,3,1128124800
2005-11,4,2,1130803200
2005-12,28,2,1133395200
2006-01,21,4,1136073600
2006-02,17,3,1138752000
2006-03,22,3,1141171200
2006-04,21,3,1143849600
2006-05,14,1,1146441600
2006-06,8,2,1149120000
2006-07,3,2,1151712000
2006-08,3,2,1154390400
2006-09,12,1,1157068800
2006-10,31,2,1159660800
2006-11,15,2,1162339200
2006-12,16,3,1164931200
2007-01,1,1,1167609600
2007-02,2,1,1170288000
2007-03,12,2,1172707200
2007-04,11,2,1175385600
2007-05,14,2,1177977600
2007-06,16,2,1180656000
2007-08,29,3,1185926400
2007-09,9,2,1188604800
2008-01,37,3,1199145600
2008-02,3,2,1201824000
2008-03,3,1,1204329600
2008-04,36,2,1207008000
2008-05,8,2,1209600000
2008-07,1,1,1214870400
2008-11,1,1,1225497600
2009-04,12,1,1238544000
2009-05,3,2,1241136000
2009-08,13,1,1249084800
2009-09,5,2,1251763200
2009-10,2,1,1254355200
2009-11,6,1,1257033600
2009-12,38,2,1259625600
2010-01,4,3,1262304000
2010-02,23,2,1264982400
2010-03,27,2,1267401600
2010-04,39,3,1270080000
2010-05,5,2,1272672000
2010-06,3,1,1275350400
2010-07,2,1,1277942400
2010-08,10,2,1280620800
2010-09,4,2,1283299200
2010-10,5,1,1285891200
2010-11,8,2,1288569600
2011-01,6,1,1293840000
2011-02,12,2,1296518400
2011-03,6,1,1298937600
2011-04,6,1,1301616000
2011-08,1,1,1312156800
2011-12,4,1,1322697600
2012-01,12,1,1325376000
2012-02,2,1,1328054400
2012-03,17,2,1330560000
2012-04,6,3,1333238400
2012-05,7,2,1335830400
2012-06,41,2,1338508800
2012-07,15,1,1341100800
2012-08,7,1,1343779200
2012-09,24,1,1346457600
2012-11,5,1,1351728000
2012-12,1,1,1354320000
2013-02,32,2,1359676800
2013-04,1,1,1364774400
2013-05,1,1,1367366400
2013-07,1,1,1372636800
2013-09,4,1,1377993600
2013-10,1,1,1380585600
2013-11,1,1,1383264000
2014-02,1,1,1391212800
2014-03,8,2,1393632000
2014-04,4,1,1396310400
2014-07,2,2,1404172800
2014-09,1,1,1409529600
2014-11,6,1,1414800000
2014-12,50,1,1417392000
2015-01,9,1,1420070400
2015-02,17,2,1422748800
2015-03,28,2,1425168000
2015-05,47,1,1430438400
2015-06,8,1,1433116800
2015-07,6,1,1435708800
2015-08,54,2,1438387200
2015-11,17,2,1446336000
2015-12,200,7,1448928000
2016-01,341,6,1451606400
2016-02,287,8,1454284800
2016-03,218,6,1456790400
2016-04,43,5,1459468800
2016-05,95,3,1462060800
2016-06,180,6,1464739200
2016-07,130,6,1467331200
2016-08,122,4,1470009600
2016-09,98,2,1472688000
2016-10,267,5,1475280000
2016-11,501,9,1477958400
2016-12,106,4,1480550400
2017-01,183,6,1483228800
2017-02,111,6,1485907200
2017-03,89,6,1488326400
2017-04,209,5,1491004800
2017-05,68,3,1493596800
2017-06,71,4,1496275200
2017-07,381,5,1498867200
2017-08,30,3,1501545600
2017-09,5,3,1504224000
2017-10,131,5,1506816000
2017-11,256,6,1509494400
2017-12,132,6,1512086400
2018-01,47,2,1514764800
2018-02,18,4,1517443200
2018-03,61,4,1519862400
2018-04,42,4,1522540800
2018-05,11,3,1525132800
2018-06,7,4,1527811200
2018-07,44,5,1530403200
2018-08,13,3,1533081600
2018-09,21,5,1535760000
2018-10,1,1,1538352000
2018-11,21,4,1541030400
2018-12,31,4,1543622400
2019-01,28,2,1546300800
2019-02,13,3,1548979200
2019-03,15,2,1551398400
2019-04,7,4,1554076800
2019-05,8,5,1556668800
2019-06,24,4,1559347200
2019-07,21,6,1561939200
2019-08,41,5,1564617600
2019-09,279,3,1567296000
2019-10,111,3,1569888000
2019-11,28,2,1572566400
2020-01,40,2,1577836800
2020-02,27,1,1580515200
2020-03,29,4,1583020800
2020-04,24,5,1585699200
2020-05,35,3,1588291200
2020-06,110,2,1590969600
2020-07,2,1,1593561600
2020-08,14,1,1596240000
