YYYY-MM,nCommits,nAuthors,timestamp
2012-01,9,2,1325376000
2012-02,46,1,1328054400
2012-03,48,4,1330560000
2012-04,211,7,1333238400
2012-05,254,10,1335830400
2012-06,134,6,1338508800
2012-07,216,6,1341100800
2012-08,140,7,1343779200
2012-09,36,5,1346457600
2012-10,163,9,1349049600
2012-11,253,9,1351728000
2012-12,146,10,1354320000
2013-01,144,9,1356998400
2013-02,245,10,1359676800
2013-03,172,11,1362096000
2013-04,140,10,1364774400
2013-05,157,8,1367366400
2013-06,143,8,1370044800
2013-07,163,8,1372636800
2013-08,151,8,1375315200
2013-09,114,4,1377993600
2013-10,119,11,1380585600
2013-11,120,6,1383264000
2013-12,122,9,1385856000
2014-01,102,9,1388534400
2014-02,175,9,1391212800
2014-03,201,11,1393632000
2014-04,80,6,1396310400
2014-05,126,8,1398902400
2014-06,122,7,1401580800
2014-07,74,11,1404172800
2014-08,110,6,1406851200
2014-09,122,5,1409529600
2014-10,73,8,1412121600
2014-11,99,8,1414800000
2014-12,82,8,1417392000
2015-01,103,9,1420070400
2015-02,114,14,1422748800
2015-03,173,15,1425168000
2015-04,50,5,1427846400
2015-05,118,10,1430438400
2015-06,40,4,1433116800
2015-07,35,6,1435708800
2015-08,31,5,1438387200
2015-09,66,7,1441065600
2015-10,139,12,1443657600
2015-11,73,13,1446336000
2015-12,64,7,1448928000
2016-01,119,10,1451606400
2016-02,160,9,1454284800
2016-03,158,8,1456790400
2016-04,104,13,1459468800
2016-05,84,9,1462060800
2016-06,132,8,1464739200
2016-07,97,7,1467331200
2016-08,62,9,1470009600
2016-09,63,8,1472688000
2016-10,74,9,1475280000
2016-11,110,8,1477958400
2016-12,27,5,1480550400
2017-01,43,5,1483228800
2017-02,101,10,1485907200
2017-03,176,14,1488326400
2017-04,53,8,1491004800
2017-05,125,8,1493596800
2017-06,87,12,1496275200
2017-07,113,11,1498867200
2017-08,80,9,1501545600
2017-09,74,9,1504224000
2017-10,74,6,1506816000
2017-11,63,8,1509494400
2017-12,60,6,1512086400
2018-01,91,11,1514764800
2018-02,92,7,1517443200
2018-03,76,8,1519862400
2018-04,42,4,1522540800
2018-05,44,4,1525132800
2018-06,36,5,1527811200
2018-07,40,4,1530403200
2018-08,36,8,1533081600
2018-09,36,5,1535760000
2018-10,61,6,1538352000
2018-11,61,7,1541030400
2018-12,40,4,1543622400
2019-01,18,5,1546300800
2019-02,29,5,1548979200
2019-03,68,5,1551398400
2019-04,13,4,1554076800
2019-05,27,2,1556668800
2019-06,26,5,1559347200
2019-07,15,5,1561939200
2019-08,19,6,1564617600
2019-09,9,4,1567296000
2019-10,37,4,1569888000
2019-11,10,3,1572566400
2019-12,10,3,1575158400
2020-01,20,4,1577836800
2020-02,10,6,1580515200
2020-03,17,4,1583020800
2020-04,11,5,1585699200
2020-05,7,2,1588291200
2020-06,11,3,1590969600
2020-07,23,3,1593561600
2020-08,31,5,1596240000
