YYYY-MM,nCommits,nAuthors,timestamp
2008-10,1,1,1222819200
2008-12,1,1,1228089600
2009-01,8,2,1230768000
2009-02,3,1,1233446400
2009-03,79,6,1235865600
2009-04,58,11,1238544000
2009-05,27,8,1241136000
2009-06,65,5,1243814400
2009-07,72,10,1246406400
2009-08,48,8,1249084800
2009-09,120,11,1251763200
2009-10,227,10,1254355200
2009-11,384,13,1257033600
2009-12,90,10,1259625600
2010-01,39,9,1262304000
2010-02,66,12,1264982400
2010-03,82,12,1267401600
2010-04,89,9,1270080000
2010-05,39,7,1272672000
2010-06,48,11,1275350400
2010-07,29,7,1277942400
2010-08,64,11,1280620800
2010-09,118,18,1283299200
2010-10,184,22,1285891200
2010-11,121,16,1288569600
2010-12,96,17,1291161600
2011-01,387,16,1293840000
2011-02,192,11,1296518400
2011-03,180,7,1298937600
2011-04,72,6,1301616000
2011-05,159,10,1304208000
2011-06,166,12,1306886400
2011-07,163,8,1309478400
2011-08,164,10,1312156800
2011-09,253,10,1314835200
2011-10,214,16,1317427200
2011-11,402,9,1320105600
2011-12,119,11,1322697600
2012-01,86,6,1325376000
2012-02,143,12,1328054400
2012-03,135,9,1330560000
2012-04,159,13,1333238400
2012-05,429,16,1335830400
2012-06,179,12,1338508800
2012-07,96,9,1341100800
2012-08,117,30,1343779200
2012-09,127,20,1346457600
2012-10,246,24,1349049600
2012-11,93,15,1351728000
2012-12,153,24,1354320000
2013-01,52,22,1356998400
2013-02,42,14,1359676800
2013-03,64,18,1362096000
2013-04,197,29,1364774400
2013-05,165,34,1367366400
2013-06,92,23,1370044800
2013-07,86,19,1372636800
2013-08,140,31,1375315200
2013-09,279,33,1377993600
2013-10,589,41,1380585600
2013-11,270,18,1383264000
2013-12,171,18,1385856000
2014-01,277,33,1388534400
2014-02,1095,56,1391212800
2014-03,182,25,1393632000
2014-04,153,19,1396310400
2014-05,132,20,1398902400
2014-06,117,21,1401580800
2014-07,133,23,1404172800
2014-08,161,15,1406851200
2014-09,199,19,1409529600
2014-10,891,47,1412121600
2014-11,81,13,1414800000
2014-12,31,9,1417392000
2015-01,358,16,1420070400
2015-02,81,10,1422748800
2015-03,189,9,1425168000
2015-04,233,6,1427846400
2015-05,404,9,1430438400
2015-06,269,10,1433116800
2015-07,240,9,1435708800
2015-08,205,10,1438387200
2015-09,186,7,1441065600
2015-10,581,20,1443657600
2015-11,56,2,1446336000
2015-12,63,3,1448928000
2016-01,58,8,1451606400
2016-02,145,5,1454284800
2016-03,146,7,1456790400
2016-04,178,9,1459468800
2016-05,184,10,1462060800
2016-06,239,11,1464739200
2016-07,349,11,1467331200
2016-08,280,11,1470009600
2016-09,266,12,1472688000
2016-10,117,12,1475280000
2016-11,139,12,1477958400
2016-12,52,9,1480550400
2017-01,92,13,1483228800
2017-02,132,16,1485907200
2017-03,323,15,1488326400
2017-04,210,11,1491004800
2017-05,459,20,1493596800
2017-06,612,23,1496275200
2017-07,1229,38,1498867200
2017-08,817,36,1501545600
2017-09,314,24,1504224000
2017-10,312,25,1506816000
2017-11,341,28,1509494400
2017-12,364,23,1512086400
2018-01,236,20,1514764800
2018-02,349,27,1517443200
2018-03,548,27,1519862400
2018-04,507,29,1522540800
2018-05,772,32,1525132800
2018-06,496,35,1527811200
2018-07,325,30,1530403200
2018-08,282,25,1533081600
2018-09,201,22,1535760000
2018-10,258,20,1538352000
2018-11,207,25,1541030400
2018-12,149,23,1543622400
2019-01,334,31,1546300800
2019-02,246,22,1548979200
2019-03,417,29,1551398400
2019-04,820,42,1554076800
2019-05,731,36,1556668800
2019-06,619,29,1559347200
2019-07,568,20,1561939200
2019-08,52,8,1564617600
2019-09,119,4,1567296000
2019-10,60,7,1569888000
2019-11,124,9,1572566400
