YYYY-MM,nCommits,nAuthors,timestamp
2015-03,26,1,1425168000
2015-04,21,3,1427846400
2015-05,33,2,1430438400
2015-06,12,2,1433116800
2015-07,19,1,1435708800
2015-08,10,1,1438387200
2015-09,9,1,1441065600
2015-10,21,2,1443657600
2015-11,24,4,1446336000
2015-12,1,1,1448928000
2016-02,3,1,1454284800
2016-03,4,1,1456790400
2016-05,1,1,1462060800
2016-06,2,2,1464739200
2016-07,18,4,1467331200
2016-08,30,8,1470009600
2016-09,48,7,1472688000
2016-10,13,4,1475280000
2016-11,13,4,1477958400
2016-12,38,10,1480550400
2017-01,20,6,1483228800
2017-02,75,9,1485907200
2017-03,236,17,1488326400
2017-04,176,13,1491004800
2017-05,719,19,1493596800
2017-06,347,14,1496275200
2017-07,327,13,1498867200
2017-08,303,13,1501545600
2017-09,434,14,1504224000
2017-10,135,9,1506816000
2017-11,114,8,1509494400
2017-12,333,10,1512086400
2018-01,137,7,1514764800
2018-02,107,12,1517443200
2018-03,43,7,1519862400
2018-04,38,3,1522540800
2018-05,50,7,1525132800
2018-06,208,12,1527811200
2018-07,318,10,1530403200
2018-08,347,7,1533081600
2018-09,60,4,1535760000
2018-10,143,6,1538352000
2018-11,56,5,1541030400
2018-12,38,5,1543622400
2019-01,74,5,1546300800
2019-02,58,4,1548979200
2019-03,44,3,1551398400
2019-04,101,3,1554076800
2019-05,99,4,1556668800
2019-06,72,5,1559347200
2019-07,95,5,1561939200
2019-08,93,5,1564617600
2019-09,59,5,1567296000
2019-10,58,3,1569888000
2019-11,110,5,1572566400
2019-12,57,2,1575158400
2020-01,30,2,1577836800
2020-02,66,3,1580515200
2020-03,90,4,1583020800
2020-04,63,3,1585699200
2020-05,39,4,1588291200
2020-06,60,5,1590969600
2020-07,14,2,1593561600
2020-08,32,1,1596240000
2020-09,5,2,1598918400
