YYYY-MM,nCommits,nAuthors,timestamp
2009-12,363,6,1259625600
2010-01,318,5,1262304000
2010-02,198,6,1264982400
2010-03,295,6,1267401600
2010-04,252,5,1270080000
2010-05,148,4,1272672000
2010-06,158,5,1275350400
2010-07,226,6,1277942400
2010-08,180,6,1280620800
2010-09,199,5,1283299200
2010-10,144,6,1285891200
2010-11,293,5,1288569600
2010-12,265,5,1291161600
2011-01,235,9,1293840000
2011-02,237,7,1296518400
2011-03,234,7,1298937600
2011-04,283,6,1301616000
2011-05,391,6,1304208000
2011-06,430,9,1306886400
2011-07,149,10,1309478400
2011-08,117,6,1312156800
2011-09,122,6,1314835200
2011-10,206,9,1317427200
2011-11,214,13,1320105600
2011-12,295,7,1322697600
2012-01,291,8,1325376000
2012-02,132,10,1328054400
2012-03,160,8,1330560000
2012-04,248,7,1333238400
2012-05,340,7,1335830400
2012-06,55,5,1338508800
2012-07,103,7,1341100800
2012-08,199,7,1343779200
2012-09,99,7,1346457600
2012-10,88,7,1349049600
2012-11,36,4,1351728000
2012-12,166,7,1354320000
2013-01,179,6,1356998400
2013-02,124,7,1359676800
2013-03,198,8,1362096000
2013-04,340,8,1364774400
2013-05,152,6,1367366400
2013-06,156,6,1370044800
2013-07,128,6,1372636800
2013-08,157,6,1375315200
2013-09,269,11,1377993600
2013-10,209,12,1380585600
2013-11,299,9,1383264000
2013-12,200,10,1385856000
2014-01,344,12,1388534400
2014-02,227,9,1391212800
2014-03,297,10,1393632000
2014-04,338,10,1396310400
2014-05,350,11,1398902400
2014-06,325,10,1401580800
2014-07,251,11,1404172800
2014-08,351,10,1406851200
2014-09,241,10,1409529600
2014-10,174,10,1412121600
2014-11,350,9,1414800000
2014-12,342,6,1417392000
2015-01,764,9,1420070400
2015-02,485,9,1422748800
2015-03,338,9,1425168000
2015-04,324,10,1427846400
2015-05,344,8,1430438400
2015-06,482,7,1433116800
2015-07,916,10,1435708800
2015-08,1108,10,1438387200
2015-09,449,10,1441065600
2015-10,486,9,1443657600
2015-11,290,9,1446336000
2015-12,265,8,1448928000
2016-01,279,10,1451606400
2016-02,386,10,1454284800
2016-03,298,9,1456790400
2016-04,297,10,1459468800
2016-05,262,8,1462060800
2016-06,337,7,1464739200
2016-07,269,8,1467331200
2016-08,270,8,1470009600
2016-09,47,6,1472688000
2016-10,101,6,1475280000
2016-11,133,4,1477958400
2016-12,209,7,1480550400
2017-01,181,7,1483228800
2017-02,211,5,1485907200
2017-03,220,5,1488326400
2017-04,174,6,1491004800
2017-05,133,7,1493596800
2017-06,107,6,1496275200
2017-07,176,5,1498867200
2017-08,272,7,1501545600
2017-09,329,7,1504224000
2017-10,402,7,1506816000
2017-11,403,5,1509494400
2017-12,221,6,1512086400
2018-01,188,7,1514764800
2018-02,214,7,1517443200
2018-03,282,6,1519862400
2018-04,242,7,1522540800
2018-05,397,7,1525132800
2018-06,77,6,1527811200
2018-07,151,5,1530403200
2018-08,93,7,1533081600
2018-09,151,6,1535760000
2018-10,62,6,1538352000
2018-11,110,13,1541030400
2018-12,62,11,1543622400
2019-01,73,10,1546300800
2019-02,82,13,1548979200
2019-03,97,8,1551398400
2019-04,25,6,1554076800
2019-05,37,9,1556668800
2019-06,18,5,1559347200
2019-07,27,7,1561939200
2019-08,27,7,1564617600
2019-09,23,5,1567296000
2019-10,2,2,1569888000
2019-11,3,2,1572566400
2019-12,5,3,1575158400
2020-01,46,2,1577836800
2020-02,27,2,1580515200
2020-03,45,3,1583020800
2020-04,64,9,1585699200
2020-05,14,5,1588291200
2020-06,18,7,1590969600
2020-07,25,6,1593561600
2020-08,26,8,1596240000
2020-09,45,6,1598918400
