YYYY-MM,nCommits,nAuthors,timestamp
2011-04,3,1,1301616000
2011-05,14,1,1304208000
2011-06,20,1,1306886400
2011-07,21,1,1309478400
2011-08,1,1,1312156800
2011-09,8,2,1314835200
2011-10,42,2,1317427200
2011-11,41,2,1320105600
2011-12,16,2,1322697600
2012-01,44,5,1325376000
2012-02,28,4,1328054400
2012-03,66,5,1330560000
2012-04,75,6,1333238400
2012-05,75,9,1335830400
2012-06,75,7,1338508800
2012-07,56,9,1341100800
2012-08,49,6,1343779200
2012-09,97,5,1346457600
2012-10,56,2,1349049600
2012-11,7,4,1351728000
2012-12,1,1,1354320000
2013-01,45,9,1356998400
2013-02,59,8,1359676800
2013-03,81,7,1362096000
2013-04,69,10,1364774400
2013-05,89,10,1367366400
2013-06,106,6,1370044800
2013-07,48,7,1372636800
2013-08,70,8,1375315200
2013-09,109,7,1377993600
2013-10,39,3,1380585600
2013-11,45,4,1383264000
2013-12,37,8,1385856000
2014-01,68,19,1388534400
2014-02,69,16,1391212800
2014-03,71,20,1393632000
2014-04,25,6,1396310400
2014-05,96,8,1398902400
2014-06,37,14,1401580800
2014-07,35,10,1404172800
2014-08,52,11,1406851200
2014-09,49,14,1409529600
2014-10,70,13,1412121600
2014-11,39,12,1414800000
2014-12,50,19,1417392000
2015-01,54,7,1420070400
2015-02,112,17,1422748800
2015-03,136,20,1425168000
2015-04,8,7,1427846400
2015-05,10,9,1430438400
2015-06,10,6,1433116800
2015-07,7,5,1435708800
2015-08,6,3,1438387200
2015-09,14,9,1441065600
2015-10,15,10,1443657600
2015-11,33,6,1446336000
2015-12,2,2,1448928000
2016-01,2,2,1451606400
2016-02,7,3,1454284800
2016-03,13,9,1456790400
2016-04,74,8,1459468800
2016-05,72,22,1462060800
2016-06,113,22,1464739200
2016-07,90,7,1467331200
2016-08,84,11,1470009600
2016-09,115,16,1472688000
2016-10,117,19,1475280000
2016-11,58,12,1477958400
2016-12,110,15,1480550400
2017-01,200,11,1483228800
2017-02,67,12,1485907200
2017-03,27,14,1488326400
2017-04,10,5,1491004800
2017-05,10,3,1493596800
2017-06,12,8,1496275200
2017-07,8,2,1498867200
2017-08,3,2,1501545600
2017-09,44,15,1504224000
2017-10,125,13,1506816000
2017-11,129,12,1509494400
2017-12,128,13,1512086400
2018-01,83,6,1514764800
2018-02,76,10,1517443200
2018-03,21,11,1519862400
2018-04,64,5,1522540800
2018-05,117,3,1525132800
2018-06,146,7,1527811200
2018-07,215,12,1530403200
2018-08,55,12,1533081600
2018-09,99,12,1535760000
2018-10,99,17,1538352000
2018-11,53,9,1541030400
2018-12,94,6,1543622400
2019-01,247,17,1546300800
2019-02,417,28,1548979200
2019-03,307,23,1551398400
2019-04,309,16,1554076800
2019-05,88,15,1556668800
2019-06,83,6,1559347200
2019-07,110,9,1561939200
2019-08,309,14,1564617600
2019-09,143,18,1567296000
2019-10,77,7,1569888000
2020-01,37,5,1577836800
2020-02,20,10,1580515200
2020-03,7,5,1583020800
2020-04,3,3,1585699200
2020-05,3,3,1588291200
2020-06,2,1,1590969600
2020-07,24,6,1593561600
