YYYY-MM,nCommits,nAuthors,timestamp
2014-08,2,1,1406851200
2014-12,19,1,1417392000
2015-01,63,5,1420070400
2015-02,123,10,1422748800
2015-03,49,4,1425168000
2015-04,36,4,1427846400
2015-05,25,3,1430438400
2015-06,6,3,1433116800
2015-07,33,3,1435708800
2015-08,68,6,1438387200
2015-09,82,5,1441065600
2015-10,86,6,1443657600
2015-11,184,6,1446336000
2015-12,179,7,1448928000
2016-01,91,7,1451606400
2016-02,135,10,1454284800
2016-03,161,10,1456790400
2016-04,172,14,1459468800
2016-05,234,9,1462060800
2016-06,225,17,1464739200
2016-07,292,12,1467331200
2016-08,334,12,1470009600
2016-09,367,13,1472688000
2016-10,377,7,1475280000
2016-11,320,8,1477958400
2016-12,238,8,1480550400
2017-01,318,15,1483228800
2017-02,149,11,1485907200
2017-03,173,7,1488326400
2017-04,204,12,1491004800
2017-05,164,10,1493596800
2017-06,390,18,1496275200
2017-07,188,9,1498867200
2017-08,185,14,1501545600
2017-09,337,13,1504224000
2017-10,224,16,1506816000
2017-11,212,9,1509494400
2017-12,155,10,1512086400
2018-01,265,10,1514764800
2018-02,202,11,1517443200
2018-03,141,11,1519862400
2018-04,175,14,1522540800
2018-05,120,11,1525132800
2018-06,90,10,1527811200
2018-07,112,11,1530403200
2018-08,234,12,1533081600
2018-09,526,11,1535760000
2018-10,288,14,1538352000
2018-11,203,12,1541030400
2018-12,184,13,1543622400
2019-01,200,13,1546300800
2019-02,197,10,1548979200
2019-03,358,9,1551398400
2019-04,227,10,1554076800
2019-05,239,8,1556668800
2019-06,165,7,1559347200
2019-07,107,7,1561939200
2019-08,145,6,1564617600
2019-09,186,8,1567296000
2019-10,175,8,1569888000
2019-11,213,6,1572566400
2019-12,159,4,1575158400
2020-01,131,6,1577836800
2020-02,117,5,1580515200
2020-03,98,7,1583020800
2020-04,218,11,1585699200
2020-05,207,12,1588291200
2020-06,233,8,1590969600
2020-07,192,5,1593561600
2020-08,255,5,1596240000
2020-09,38,4,1598918400
