YYYY-MM,nCommits,nAuthors,timestamp
2010-02,48,3,1264982400
2010-03,100,3,1267401600
2010-04,19,2,1270080000
2010-05,5,2,1272672000
2010-06,4,2,1275350400
2010-07,10,3,1277942400
2010-08,7,3,1280620800
2010-09,11,1,1283299200
2010-10,38,2,1285891200
2010-11,22,3,1288569600
2010-12,44,3,1291161600
2011-01,95,3,1293840000
2011-02,35,2,1296518400
2011-03,10,1,1298937600
2011-04,64,3,1301616000
2011-05,146,3,1304208000
2011-06,131,4,1306886400
2011-07,84,4,1309478400
2011-08,52,3,1312156800
2011-09,74,4,1314835200
2011-10,42,6,1317427200
2011-11,35,3,1320105600
2011-12,105,5,1322697600
2012-01,143,7,1325376000
2012-02,43,4,1328054400
2012-03,73,7,1330560000
2012-04,146,8,1333238400
2012-05,98,8,1335830400
2012-06,86,7,1338508800
2012-07,164,11,1341100800
2012-08,177,11,1343779200
2012-09,221,10,1346457600
2012-10,157,13,1349049600
2012-11,296,11,1351728000
2012-12,399,14,1354320000
2013-01,329,11,1356998400
2013-02,284,13,1359676800
2013-03,243,10,1362096000
2013-04,198,13,1364774400
2013-05,174,13,1367366400
2013-06,157,12,1370044800
2013-07,122,11,1372636800
2013-08,81,13,1375315200
2013-09,201,9,1377993600
2013-10,251,12,1380585600
2013-11,122,12,1383264000
2013-12,212,12,1385856000
2014-01,240,10,1388534400
2014-02,144,11,1391212800
2014-03,406,15,1393632000
2014-04,379,16,1396310400
2014-05,386,14,1398902400
2014-06,378,15,1401580800
2014-07,515,15,1404172800
2014-08,396,15,1406851200
2014-09,120,11,1409529600
2014-10,236,15,1412121600
2014-11,118,7,1414800000
2014-12,182,8,1417392000
2015-01,196,11,1420070400
2015-02,195,9,1422748800
2015-03,170,11,1425168000
2015-04,195,10,1427846400
2015-05,285,10,1430438400
2015-06,173,10,1433116800
2015-07,209,13,1435708800
2015-08,209,13,1438387200
2015-09,183,10,1441065600
2015-10,302,14,1443657600
2015-11,93,9,1446336000
