YYYY-MM,nCommits,nAuthors,timestamp
2007-12,95,9,1196467200
2008-01,263,8,1199145600
2008-02,115,10,1201824000
2008-03,157,8,1204329600
2008-04,35,4,1207008000
2008-05,42,2,1209600000
2008-06,88,3,1212278400
2008-07,98,3,1214870400
2008-08,119,4,1217548800
2008-09,124,6,1220227200
2008-10,55,3,1222819200
2008-11,46,2,1225497600
2008-12,39,2,1228089600
2009-01,79,1,1230768000
2009-02,62,1,1233446400
2009-03,61,1,1235865600
2009-04,72,2,1238544000
2009-05,74,2,1241136000
2009-06,53,4,1243814400
2009-07,1,1,1246406400
2009-08,24,1,1249084800
2009-09,54,1,1251763200
2009-10,91,1,1254355200
2009-11,79,2,1257033600
2009-12,133,4,1259625600
2010-01,64,3,1262304000
2010-02,26,1,1264982400
2010-03,111,1,1267401600
2010-04,106,1,1270080000
2010-05,25,2,1272672000
2010-06,29,1,1275350400
2010-07,124,2,1277942400
2010-08,106,2,1280620800
2010-09,69,2,1283299200
2010-10,121,2,1285891200
2010-11,125,2,1288569600
2010-12,87,3,1291161600
2011-01,169,3,1293840000
2011-02,82,4,1296518400
2011-03,120,4,1298937600
2011-04,92,3,1301616000
2011-05,102,3,1304208000
2011-06,137,3,1306886400
2011-07,67,3,1309478400
2011-08,96,3,1312156800
2011-09,162,3,1314835200
2011-10,162,3,1317427200
2011-11,139,3,1320105600
2011-12,194,3,1322697600
2012-01,157,3,1325376000
2012-02,149,3,1328054400
2012-03,90,2,1330560000
2012-04,144,5,1333238400
2012-05,113,4,1335830400
2012-06,137,5,1338508800
2012-07,134,4,1341100800
2012-08,91,4,1343779200
2012-09,76,4,1346457600
2012-10,129,7,1349049600
2012-11,97,6,1351728000
2012-12,153,3,1354320000
2013-01,175,5,1356998400
2013-02,119,4,1359676800
2013-03,99,6,1362096000
2013-04,86,8,1364774400
2013-05,62,6,1367366400
2013-06,22,3,1370044800
2013-07,46,4,1372636800
2013-08,22,2,1375315200
2013-09,55,4,1377993600
2013-10,47,4,1380585600
2013-11,55,5,1383264000
2013-12,68,3,1385856000
2014-01,58,4,1388534400
2014-02,48,3,1391212800
2014-03,75,4,1393632000
2014-04,49,6,1396310400
2014-05,60,4,1398902400
2014-06,35,4,1401580800
2014-07,34,2,1404172800
2014-08,48,3,1406851200
2014-09,27,3,1409529600
2014-10,33,4,1412121600
2014-11,38,1,1414800000
2014-12,189,8,1417392000
2015-01,176,5,1420070400
2015-02,108,7,1422748800
2015-03,186,6,1425168000
2015-04,173,6,1427846400
2015-05,50,4,1430438400
2015-06,92,5,1433116800
2015-07,71,5,1435708800
2015-08,62,8,1438387200
2015-09,128,5,1441065600
2015-10,206,5,1443657600
2015-11,159,6,1446336000
2015-12,124,8,1448928000
2016-01,205,10,1451606400
2016-02,180,8,1454284800
2016-03,170,6,1456790400
2016-04,135,8,1459468800
2016-05,95,6,1462060800
2016-06,130,8,1464739200
2016-07,134,9,1467331200
2016-08,301,8,1470009600
2016-09,122,4,1472688000
2016-10,139,6,1475280000
2016-11,201,5,1477958400
2016-12,156,8,1480550400
2017-01,165,8,1483228800
2017-02,58,5,1485907200
2017-03,94,7,1488326400
2017-04,149,7,1491004800
2017-05,113,8,1493596800
2017-06,75,7,1496275200
2017-07,80,7,1498867200
2017-08,127,5,1501545600
2017-09,218,6,1504224000
2017-10,177,7,1506816000
2017-11,61,6,1509494400
2017-12,105,6,1512086400
2018-01,160,5,1514764800
2018-02,144,6,1517443200
2018-03,192,5,1519862400
2018-04,104,5,1522540800
2018-05,56,5,1525132800
2018-06,50,4,1527811200
2018-07,69,4,1530403200
2018-08,86,5,1533081600
2018-09,84,5,1535760000
2018-10,17,4,1538352000
2018-11,25,5,1541030400
2018-12,78,6,1543622400
2019-01,104,5,1546300800
2019-02,54,7,1548979200
2019-03,106,5,1551398400
2019-04,214,6,1554076800
2019-05,53,7,1556668800
2019-06,36,5,1559347200
2019-07,1,1,1561939200
2019-08,45,4,1564617600
2019-09,75,4,1567296000
2019-10,84,5,1569888000
2019-11,63,5,1572566400
2019-12,37,4,1575158400
2020-01,117,4,1577836800
2020-02,49,4,1580515200
2020-03,29,3,1583020800
2020-04,19,4,1585699200
2020-05,49,5,1588291200
2020-06,19,3,1590969600
2020-07,3,1,1593561600
2020-08,4,2,1596240000
