YYYY-MM,nCommits,nAuthors,timestamp
2016-02,61,4,1454284800
2016-03,184,8,1456790400
2016-04,529,17,1459468800
2016-05,826,22,1462060800
2016-06,610,16,1464739200
2016-07,1204,22,1467331200
2016-08,925,29,1470009600
2016-09,646,30,1472688000
2016-10,632,25,1475280000
2016-11,457,28,1477958400
2016-12,280,18,1480550400
2017-01,806,26,1483228800
2017-02,1051,30,1485907200
2017-03,1303,33,1488326400
2017-04,977,42,1491004800
2017-05,836,35,1493596800
2017-06,742,43,1496275200
2017-07,541,38,1498867200
2017-08,727,42,1501545600
2017-09,686,48,1504224000
2017-10,680,49,1506816000
2017-11,421,45,1509494400
2017-12,336,46,1512086400
2018-01,528,48,1514764800
2018-02,804,54,1517443200
2018-03,873,62,1519862400
2018-04,1045,73,1522540800
2018-05,759,64,1525132800
2018-06,682,64,1527811200
2018-07,941,63,1530403200
2018-08,1210,76,1533081600
2018-09,673,60,1535760000
2018-10,1174,93,1538352000
2018-11,710,66,1541030400
2018-12,478,56,1543622400
2019-01,656,67,1546300800
2019-02,594,84,1548979200
2019-03,1096,90,1551398400
2019-04,1358,96,1554076800
2019-05,1745,101,1556668800
2019-06,1665,106,1559347200
2019-07,1147,104,1561939200
2019-08,1062,104,1564617600
2019-09,1341,110,1567296000
2019-10,1395,111,1569888000
2019-11,1014,103,1572566400
2019-12,909,93,1575158400
2020-01,1126,86,1577836800
2020-02,1043,89,1580515200
2020-03,1291,99,1583020800
2020-04,1156,98,1585699200
2020-05,1332,97,1588291200
2020-06,1369,89,1590969600
2020-07,1034,96,1593561600
2020-08,1099,95,1596240000
2020-09,169,46,1598918400
