YYYY-MM,nCommits,nAuthors,timestamp
2013-07,1,1,1372636800
2013-08,1,1,1375315200
2013-10,1,1,1380585600
2013-11,1,1,1383264000
2014-01,2,2,1388534400
2014-02,1,1,1391212800
2014-03,2,1,1393632000
2014-04,1,1,1396310400
2014-05,32,7,1398902400
2014-06,97,9,1401580800
2014-07,59,4,1404172800
2014-08,109,6,1406851200
2014-09,73,6,1409529600
2014-10,112,9,1412121600
2014-11,141,21,1414800000
2014-12,40,9,1417392000
2015-01,93,11,1420070400
2015-02,87,8,1422748800
2015-03,74,9,1425168000
2015-04,121,15,1427846400
2015-05,132,11,1430438400
2015-06,127,7,1433116800
2015-07,129,10,1435708800
2015-08,147,8,1438387200
2015-09,151,12,1441065600
2015-10,116,8,1443657600
2015-11,180,10,1446336000
2015-12,185,11,1448928000
2016-01,170,13,1451606400
2016-02,99,10,1454284800
2016-03,147,11,1456790400
2016-04,37,5,1459468800
2016-05,42,6,1462060800
2016-06,86,7,1464739200
2016-07,52,5,1467331200
2016-08,74,3,1470009600
2016-09,240,12,1472688000
2016-10,287,10,1475280000
2016-11,316,14,1477958400
2016-12,231,13,1480550400
2017-01,207,12,1483228800
2017-02,164,10,1485907200
2017-03,211,11,1488326400
2017-04,297,14,1491004800
2017-05,252,11,1493596800
2017-06,171,13,1496275200
2017-07,247,11,1498867200
2017-08,123,10,1501545600
2017-09,148,7,1504224000
2017-10,140,8,1506816000
2017-11,134,7,1509494400
2017-12,57,4,1512086400
2018-01,98,11,1514764800
2018-02,26,5,1517443200
2018-03,86,6,1519862400
2018-04,22,6,1522540800
2018-05,25,3,1525132800
2018-06,13,3,1527811200
2018-07,12,2,1530403200
2019-12,20,6,1575158400
2020-01,26,5,1577836800
2020-02,44,8,1580515200
2020-03,50,8,1583020800
2020-04,57,10,1585699200
2020-05,6,3,1588291200
2020-06,25,4,1590969600
2020-07,15,3,1593561600
2020-08,24,5,1596240000
2020-09,2,1,1598918400
