YYYY-MM,nCommits,nAuthors,timestamp
1999-12,20,3,944006400
2000-01,12,3,946684800
2000-02,17,3,949363200
2000-03,13,2,951868800
2000-04,16,3,954547200
2000-05,16,2,957139200
2000-06,15,3,959817600
2000-07,2,1,962409600
2000-08,8,2,965088000
2000-09,28,5,967766400
2000-10,2,1,970358400
2000-11,6,3,973036800
2000-12,4,1,975628800
2001-01,19,2,978307200
2001-02,28,2,980985600
2001-03,46,6,983404800
2001-04,27,6,986083200
2001-05,19,4,988675200
2001-06,29,4,991353600
2001-07,30,5,993945600
2001-08,32,7,996624000
2001-09,34,3,999302400
2001-10,8,4,1001894400
2001-11,21,4,1004572800
2001-12,19,3,1007164800
2002-01,32,4,1009843200
2002-02,82,6,1012521600
2002-03,19,3,1014940800
2002-04,10,4,1017619200
2002-05,2,2,1020211200
2002-06,29,3,1022889600
2002-07,37,4,1025481600
2002-08,90,8,1028160000
2002-09,40,4,1030838400
2002-10,9,3,1033430400
2002-11,22,3,1036108800
2002-12,45,4,1038700800
2003-01,62,3,1041379200
2003-02,63,5,1044057600
2003-03,51,7,1046476800
2003-04,21,3,1049155200
2003-05,23,6,1051747200
2003-06,37,5,1054425600
2003-07,92,6,1057017600
2003-08,132,8,1059696000
2003-09,60,6,1062374400
2003-10,6,2,1064966400
2003-11,9,3,1067644800
2003-12,34,7,1070236800
2004-01,73,15,1072915200
2004-02,88,16,1075593600
2004-03,47,15,1078099200
2004-04,56,11,1080777600
2004-05,54,10,1083369600
2004-06,47,9,1086048000
2004-07,96,9,1088640000
2004-08,71,14,1091318400
2004-09,52,11,1093996800
2004-10,43,13,1096588800
2004-11,67,10,1099267200
2004-12,62,8,1101859200
2005-01,101,12,1104537600
2005-02,107,21,1107216000
2005-03,54,7,1109635200
2005-04,59,11,1112313600
2005-05,41,12,1114905600
2005-06,91,11,1117584000
2005-07,26,14,1120176000
2005-08,30,11,1122854400
2005-09,40,12,1125532800
2005-10,75,8,1128124800
2005-11,93,10,1130803200
2005-12,52,13,1133395200
2006-01,56,9,1136073600
2006-02,94,11,1138752000
2006-03,82,15,1141171200
2006-04,26,10,1143849600
2006-05,15,4,1146441600
2006-06,26,5,1149120000
2006-07,15,4,1151712000
2006-08,26,11,1154390400
2006-09,54,12,1157068800
2006-10,10,5,1159660800
2006-11,336,7,1162339200
2006-12,39,10,1164931200
2007-01,75,11,1167609600
2007-02,36,13,1170288000
2007-03,40,16,1172707200
2007-04,7,2,1175385600
2007-05,27,4,1177977600
2007-06,31,4,1180656000
2007-07,18,8,1183248000
2007-08,141,9,1185926400
2007-09,162,23,1188604800
2007-10,22,6,1191196800
2007-11,36,4,1193875200
2007-12,50,6,1196467200
2008-01,84,8,1199145600
2008-02,203,18,1201824000
2008-03,206,29,1204329600
2008-04,27,9,1207008000
2008-05,19,8,1209600000
2008-06,26,6,1212278400
2008-07,229,10,1214870400
2008-08,41,13,1217548800
2008-09,173,21,1220227200
2008-10,101,19,1222819200
2008-11,14,5,1225497600
2008-12,14,6,1228089600
2009-01,36,5,1230768000
2009-02,10,7,1233446400
2009-03,93,23,1235865600
2009-04,71,23,1238544000
2009-05,3,3,1241136000
2009-06,6,4,1243814400
2009-07,34,6,1246406400
2009-08,70,16,1249084800
2009-09,37,17,1251763200
2009-10,99,23,1254355200
2009-11,14,7,1257033600
2009-12,6,2,1259625600
2010-01,26,6,1262304000
2010-02,9,6,1264982400
2010-03,13,6,1267401600
2010-04,9,4,1270080000
2010-05,13,7,1272672000
2010-06,6,4,1275350400
2010-07,6,3,1277942400
2010-08,1,1,1280620800
2010-11,5,3,1288569600
2010-12,5,2,1291161600
2011-01,37,1,1293840000
2011-02,9,2,1296518400
2011-03,12,2,1298937600
2011-04,33,13,1301616000
2011-05,53,8,1304208000
2011-06,12,7,1306886400
2011-07,10,3,1309478400
2011-08,3,3,1312156800
2011-09,8,1,1314835200
2011-10,6,1,1317427200
2011-12,22,3,1322697600
2012-01,23,4,1325376000
2012-02,20,2,1328054400
2012-03,37,3,1330560000
2012-04,3,2,1333238400
2012-05,1,1,1335830400
2012-06,46,1,1338508800
2012-08,53,4,1343779200
2012-09,18,2,1346457600
2012-10,31,2,1349049600
2012-11,17,1,1351728000
2012-12,19,2,1354320000
2013-01,3,2,1356998400
2013-02,19,1,1359676800
2013-03,61,4,1362096000
2013-04,2,2,1364774400
2013-08,6,4,1375315200
2013-10,1,1,1380585600
2013-11,2,2,1383264000
2014-01,10,2,1388534400
2014-03,9,1,1393632000
2014-04,4,2,1396310400
2014-05,4,1,1398902400
2014-07,1,1,1404172800
2014-09,1,1,1409529600
2014-10,2,2,1412121600
2014-11,11,2,1414800000
2015-12,6,1,1448928000
2016-01,4,1,1451606400
2016-05,3,1,1462060800
2016-06,2,1,1464739200
2016-10,3,1,1475280000
2016-11,2,1,1477958400
2017-09,2,1,1504224000
2017-10,1,1,1506816000
2017-11,1,1,1509494400
2018-11,1,1,1541030400
