YYYY-MM,nCommits,nAuthors,timestamp
2013-02,2,2,1359676800
2013-03,39,3,1362096000
2013-04,12,4,1364774400
2013-05,15,3,1367366400
2013-06,28,5,1370044800
2013-07,25,4,1372636800
2013-08,31,5,1375315200
2013-09,150,5,1377993600
2013-10,203,5,1380585600
2013-11,48,5,1383264000
2013-12,98,4,1385856000
2014-01,80,4,1388534400
2014-02,125,3,1391212800
2014-03,149,4,1393632000
2014-04,46,3,1396310400
2014-05,58,2,1398902400
2014-06,145,3,1401580800
2014-07,20,2,1404172800
2014-08,87,4,1406851200
2014-09,121,4,1409529600
2014-10,138,6,1412121600
2014-11,105,3,1414800000
2014-12,80,6,1417392000
2015-01,134,9,1420070400
2015-02,51,3,1422748800
2015-03,45,5,1425168000
2015-04,60,10,1427846400
2015-05,296,11,1430438400
2015-06,415,13,1433116800
2015-07,135,9,1435708800
2015-08,23,4,1438387200
2015-09,2,1,1441065600
2015-10,14,5,1443657600
2015-11,6,2,1446336000
2015-12,1,1,1448928000
2016-02,29,6,1454284800
2016-03,95,8,1456790400
2016-04,124,11,1459468800
2016-05,138,12,1462060800
2016-06,96,11,1464739200
2016-07,19,5,1467331200
2016-08,20,7,1470009600
2016-09,77,6,1472688000
2016-10,73,9,1475280000
2016-11,157,8,1477958400
2016-12,22,4,1480550400
2017-01,3,2,1483228800
2017-02,15,6,1485907200
2017-03,36,9,1488326400
2017-04,72,9,1491004800
2017-05,59,8,1493596800
2017-06,45,12,1496275200
2017-07,6,6,1498867200
2017-08,22,5,1501545600
2017-09,18,8,1504224000
2017-10,86,6,1506816000
2017-11,67,5,1509494400
2017-12,15,4,1512086400
2018-01,144,7,1514764800
2018-02,15,4,1517443200
2018-03,74,5,1519862400
2018-04,37,8,1522540800
2018-05,17,6,1525132800
2018-06,63,7,1527811200
2018-07,7,2,1530403200
2018-08,22,3,1533081600
2018-09,14,4,1535760000
2018-10,16,3,1538352000
2018-11,25,5,1541030400
2018-12,14,4,1543622400
2019-01,15,3,1546300800
2019-02,63,4,1548979200
2019-03,27,3,1551398400
2019-04,11,5,1554076800
2019-05,69,4,1556668800
2019-06,68,6,1559347200
2019-07,11,3,1561939200
2019-08,26,5,1564617600
2019-09,134,9,1567296000
2019-10,176,11,1569888000
2019-11,54,8,1572566400
2019-12,48,6,1575158400
2020-01,25,3,1577836800
2020-02,34,6,1580515200
2020-03,60,2,1583020800
2020-04,29,2,1585699200
2020-05,134,5,1588291200
2020-06,37,5,1590969600
2020-07,22,3,1593561600
2020-08,17,5,1596240000
