YYYY-MM,nCommits,nAuthors,timestamp
2016-06,28,3,1464739200
2016-07,326,7,1467331200
2016-10,72,6,1475280000
2016-11,118,16,1477958400
2016-12,134,13,1480550400
2017-01,113,13,1483228800
2017-02,10,1,1485907200
2017-03,8,1,1488326400
2017-05,56,2,1493596800
2017-06,24,4,1496275200
2017-07,32,4,1498867200
2017-08,103,10,1501545600
2017-09,186,13,1504224000
2017-10,466,14,1506816000
2017-11,170,20,1509494400
2017-12,211,13,1512086400
2018-01,236,17,1514764800
2018-02,28,6,1517443200
2018-03,148,20,1519862400
2018-04,158,11,1522540800
2018-05,126,15,1525132800
2018-06,247,19,1527811200
2018-07,348,16,1530403200
2018-08,286,25,1533081600
2018-09,155,14,1535760000
2018-10,124,12,1538352000
2018-11,49,9,1541030400
2018-12,105,14,1543622400
2019-01,79,11,1546300800
2019-02,44,7,1548979200
2019-03,33,7,1551398400
2019-04,15,6,1554076800
2019-05,1,1,1556668800
2019-07,25,6,1561939200
2019-08,42,4,1564617600
2019-09,101,9,1567296000
2019-10,34,6,1569888000
2019-11,43,7,1572566400
2019-12,18,7,1575158400
2020-01,7,3,1577836800
2020-02,34,10,1580515200
2020-03,8,4,1583020800
2020-04,318,11,1585699200
2020-05,50,10,1588291200
2020-06,27,6,1590969600
2020-08,22,7,1596240000
2020-09,29,8,1598918400
