YYYY-MM,nCommits,nAuthors,timestamp
2014-04,2,2,1396310400
2014-05,108,4,1398902400
2014-06,4,2,1401580800
2014-08,2,1,1406851200
2014-11,30,1,1414800000
2014-12,21,1,1417392000
2015-01,10,1,1420070400
2015-02,35,2,1422748800
2015-03,11,3,1425168000
2015-04,2,1,1427846400
2015-05,1,1,1430438400
2015-06,12,2,1433116800
2015-07,16,2,1435708800
2015-08,65,6,1438387200
2015-09,24,4,1441065600
2015-10,30,2,1443657600
2015-11,57,5,1446336000
2015-12,54,4,1448928000
2016-01,65,6,1451606400
2016-02,151,5,1454284800
2016-03,103,6,1456790400
2016-04,136,6,1459468800
2016-05,100,3,1462060800
2016-06,103,3,1464739200
2016-07,22,5,1467331200
2016-08,52,4,1470009600
2016-09,52,4,1472688000
2016-10,62,8,1475280000
2016-11,129,5,1477958400
2016-12,80,5,1480550400
2017-01,77,5,1483228800
2017-02,56,3,1485907200
2017-03,57,3,1488326400
2017-04,66,3,1491004800
2017-05,133,5,1493596800
2017-06,71,3,1496275200
2017-07,27,2,1498867200
2017-08,52,3,1501545600
2017-09,41,2,1504224000
2017-10,127,9,1506816000
2017-11,58,6,1509494400
2017-12,47,3,1512086400
2018-01,78,2,1514764800
2018-02,61,4,1517443200
2018-03,118,4,1519862400
2018-04,383,5,1522540800
2018-05,217,10,1525132800
2018-06,132,11,1527811200
2018-07,129,11,1530403200
2018-08,135,12,1533081600
2018-09,284,10,1535760000
2018-10,186,8,1538352000
2018-11,133,5,1541030400
2018-12,113,11,1543622400
2019-01,77,7,1546300800
2019-02,176,10,1548979200
2019-03,228,10,1551398400
2019-04,317,13,1554076800
2019-05,442,13,1556668800
2019-06,218,12,1559347200
2019-07,261,10,1561939200
2019-08,545,17,1564617600
2019-09,556,16,1567296000
2019-10,483,20,1569888000
2019-11,224,12,1572566400
2019-12,36,6,1575158400
2020-01,1,1,1577836800
2020-02,1,1,1580515200
2020-04,1,1,1585699200
2020-05,1,1,1588291200
