YYYY-MM,nCommits,nAuthors,timestamp
2002-10,1,1,1033430400
2003-06,34,3,1054425600
2003-07,31,5,1057017600
2003-08,19,3,1059696000
2003-09,9,4,1062374400
2003-10,99,8,1064966400
2003-11,77,7,1067644800
2003-12,24,4,1070236800
2004-01,11,3,1072915200
2004-02,23,4,1075593600
2004-03,14,3,1078099200
2004-04,15,4,1080777600
2004-05,33,6,1083369600
2004-06,68,7,1086048000
2004-07,78,5,1088640000
2004-08,18,5,1091318400
2004-09,156,10,1093996800
2004-10,148,9,1096588800
2004-11,61,9,1099267200
2004-12,71,6,1101859200
2005-01,138,9,1104537600
2005-02,102,9,1107216000
2005-03,141,7,1109635200
2005-04,292,9,1112313600
2005-05,233,8,1114905600
2005-06,300,9,1117584000
2005-07,12,4,1120176000
2005-08,5,2,1122854400
2005-10,3,2,1128124800
2005-12,1,1,1133395200
2006-01,367,11,1136073600
2006-02,410,9,1138752000
2006-03,472,9,1141171200
2006-04,446,9,1143849600
2006-05,452,8,1146441600
2006-06,349,7,1149120000
2006-07,153,7,1151712000
2006-08,95,5,1154390400
2006-09,199,5,1157068800
2006-10,197,7,1159660800
2006-11,31,5,1162339200
2006-12,226,4,1164931200
2007-01,126,4,1167609600
2007-02,131,6,1170288000
2007-03,53,5,1172707200
2007-04,264,7,1175385600
2007-05,209,6,1177977600
2007-06,347,7,1180656000
2007-07,171,5,1183248000
2007-08,334,9,1185926400
2007-09,228,6,1188604800
2007-10,213,6,1191196800
2007-11,57,5,1193875200
2007-12,26,5,1196467200
2008-01,37,3,1199145600
2008-02,100,4,1201824000
2008-03,46,4,1204329600
2008-04,120,4,1207008000
2008-05,27,3,1209600000
2008-06,219,4,1212278400
2008-07,225,6,1214870400
2008-08,501,6,1217548800
2008-09,55,5,1220227200
2008-10,213,5,1222819200
2008-11,19,4,1225497600
2008-12,103,5,1228089600
2009-01,150,5,1230768000
2009-02,222,4,1233446400
2009-03,199,2,1235865600
2009-04,436,4,1238544000
2009-05,237,4,1241136000
2009-06,204,3,1243814400
2009-07,211,2,1246406400
2009-08,204,3,1249084800
2009-09,36,3,1251763200
2009-10,10,1,1254355200
2009-11,60,4,1257033600
2009-12,52,4,1259625600
2010-01,94,3,1262304000
2010-02,279,2,1264982400
2010-03,635,3,1267401600
2010-04,141,4,1270080000
2010-05,74,4,1272672000
2010-06,167,3,1275350400
2010-07,28,2,1277942400
2010-08,65,3,1280620800
2010-10,46,3,1285891200
2010-11,194,2,1288569600
2010-12,160,3,1291161600
2011-01,224,2,1293840000
2011-02,127,2,1296518400
2011-03,125,3,1298937600
2011-04,265,3,1301616000
2011-05,144,3,1304208000
2011-06,170,3,1306886400
2011-07,80,3,1309478400
2011-08,124,2,1312156800
2011-09,84,4,1314835200
2011-10,43,3,1317427200
2011-11,25,3,1320105600
2011-12,77,5,1322697600
2012-01,73,2,1325376000
2012-02,190,5,1328054400
2012-03,208,5,1330560000
2012-04,130,6,1333238400
2012-05,33,7,1335830400
2012-06,50,5,1338508800
2012-07,146,5,1341100800
2012-08,81,7,1343779200
2012-09,57,3,1346457600
2012-10,102,4,1349049600
2012-11,50,4,1351728000
2012-12,28,5,1354320000
2013-01,97,4,1356998400
2013-02,28,4,1359676800
2013-03,30,4,1362096000
2013-04,46,6,1364774400
2013-05,130,5,1367366400
2013-06,125,6,1370044800
2013-07,55,7,1372636800
2013-08,43,6,1375315200
2013-09,39,5,1377993600
2013-10,32,4,1380585600
2013-11,39,5,1383264000
2013-12,22,3,1385856000
2014-01,28,5,1388534400
2014-02,16,5,1391212800
2014-03,23,3,1393632000
2014-04,20,2,1396310400
2014-05,44,5,1398902400
2014-06,63,10,1401580800
2014-07,134,11,1404172800
2014-08,120,8,1406851200
2014-09,69,6,1409529600
2014-10,110,5,1412121600
2014-11,80,4,1414800000
2014-12,20,4,1417392000
2015-01,22,4,1420070400
2015-02,71,4,1422748800
2015-03,59,4,1425168000
2015-04,63,4,1427846400
2015-05,100,4,1430438400
2015-06,215,8,1433116800
2015-07,58,5,1435708800
2015-08,48,6,1438387200
2015-09,31,4,1441065600
2015-10,33,6,1443657600
2015-11,30,6,1446336000
2015-12,58,3,1448928000
2016-01,57,2,1451606400
2016-02,110,5,1454284800
2016-03,46,4,1456790400
2016-04,32,2,1459468800
2016-05,11,3,1462060800
2016-06,18,1,1464739200
2016-07,57,2,1467331200
2016-08,67,2,1470009600
2016-09,237,4,1472688000
2016-10,107,5,1475280000
2016-11,95,4,1477958400
2016-12,69,3,1480550400
2017-01,178,3,1483228800
2017-02,134,4,1485907200
2017-03,164,3,1488326400
2017-04,45,2,1491004800
2017-05,13,3,1493596800
2017-06,37,5,1496275200
2017-07,20,2,1498867200
2017-08,21,3,1501545600
2017-09,13,3,1504224000
2017-10,24,6,1506816000
2017-11,2,2,1509494400
2017-12,1,1,1512086400
2018-03,3,1,1519862400
2018-06,9,2,1527811200
2018-07,2,2,1530403200
2018-09,1,1,1535760000
2018-10,3,1,1538352000
2018-11,2,1,1541030400
2018-12,2,1,1543622400
2019-02,1,1,1548979200
2019-04,1,1,1554076800
2019-06,9,2,1559347200
2019-07,1,1,1561939200
2019-08,1,1,1564617600
2019-09,2,1,1567296000
2019-10,6,1,1569888000
2019-11,4,1,1572566400
2020-01,3,1,1577836800
2020-02,6,1,1580515200
2020-03,1,1,1583020800
2020-04,1,1,1585699200
2020-06,12,1,1590969600
2020-07,2,1,1593561600
