YYYY-MM,nCommits,nAuthors,timestamp
2003-04,1,1,1049155200
2003-12,83,2,1070236800
2004-01,13,2,1072915200
2004-02,54,5,1075593600
2004-03,252,4,1078099200
2004-04,444,6,1080777600
2004-05,482,8,1083369600
2004-06,146,7,1086048000
2004-07,160,6,1088640000
2004-08,157,7,1091318400
2004-09,116,5,1093996800
2004-10,108,4,1096588800
2004-11,150,5,1099267200
2004-12,39,4,1101859200
2005-01,11,4,1104537600
2005-03,29,4,1109635200
2005-04,53,6,1112313600
2005-05,173,5,1114905600
2005-06,104,3,1117584000
2005-07,89,5,1120176000
2005-08,8,2,1122854400
2005-09,30,3,1125532800
2005-10,117,5,1128124800
2005-11,21,3,1130803200
2005-12,20,4,1133395200
2006-01,68,4,1136073600
2006-02,23,3,1138752000
2006-03,101,4,1141171200
2006-04,243,7,1143849600
2006-05,109,8,1146441600
2006-06,159,7,1149120000
2006-07,223,8,1151712000
2006-08,77,4,1154390400
2006-09,74,8,1157068800
2006-10,85,5,1159660800
2006-11,10,2,1162339200
2006-12,64,4,1164931200
2007-01,151,8,1167609600
2007-02,72,6,1170288000
2007-03,47,6,1172707200
2007-04,41,4,1175385600
2007-05,62,6,1177977600
2007-06,42,4,1180656000
2007-07,15,6,1183248000
2007-08,21,3,1185926400
2007-09,1,1,1188604800
2007-10,10,3,1191196800
2007-11,18,2,1193875200
2007-12,49,3,1196467200
2008-01,63,6,1199145600
2008-02,53,5,1201824000
2008-03,11,2,1204329600
2008-04,11,3,1207008000
2008-05,108,7,1209600000
2008-06,37,7,1212278400
2008-07,9,6,1214870400
2008-08,24,5,1217548800
2008-09,17,5,1220227200
2008-10,14,4,1222819200
2008-11,3,1,1225497600
2008-12,2,2,1228089600
2009-01,7,4,1230768000
2009-02,1,1,1233446400
2009-03,10,2,1235865600
2009-04,3,1,1238544000
2009-05,5,2,1241136000
2009-06,8,3,1243814400
2009-07,2,2,1246406400
2009-08,6,2,1249084800
2009-09,16,3,1251763200
2009-10,1,1,1254355200
2009-11,179,3,1257033600
2009-12,59,5,1259625600
2010-01,58,4,1262304000
2010-02,163,7,1264982400
2010-03,121,6,1267401600
2010-04,8,3,1270080000
2010-05,4,2,1272672000
2010-07,3,1,1277942400
2010-08,16,2,1280620800
2010-09,1,1,1283299200
2010-10,1,1,1285891200
2010-12,1,1,1291161600
2011-01,13,3,1293840000
2011-02,2,1,1296518400
2011-03,4,1,1298937600
2011-04,4,2,1301616000
2011-05,5,4,1304208000
2011-09,3,3,1314835200
2012-01,14,3,1325376000
2012-02,8,2,1328054400
2012-03,9,2,1330560000
2012-04,2,2,1333238400
2012-05,4,2,1335830400
2012-06,7,2,1338508800
2012-08,4,2,1343779200
2012-11,3,1,1351728000
2012-12,1,1,1354320000
2013-01,5,1,1356998400
2013-02,9,2,1359676800
2013-03,3,1,1362096000
2013-04,9,3,1364774400
2013-05,6,4,1367366400
2013-06,15,2,1370044800
2013-07,27,3,1372636800
2013-08,71,8,1375315200
2013-09,110,5,1377993600
2013-10,46,3,1380585600
2013-11,22,5,1383264000
2013-12,36,4,1385856000
2014-01,28,6,1388534400
2014-02,13,4,1391212800
2014-03,13,3,1393632000
2014-04,6,2,1396310400
2014-05,12,2,1398902400
2014-06,5,3,1401580800
2014-07,54,3,1404172800
2014-08,323,6,1406851200
2014-09,22,3,1409529600
2014-10,69,4,1412121600
2014-11,33,3,1414800000
2014-12,19,3,1417392000
2015-01,4,1,1420070400
2015-02,63,5,1422748800
2015-03,96,9,1425168000
2015-04,64,10,1427846400
2015-05,16,3,1430438400
2015-06,118,10,1433116800
2015-07,82,7,1435708800
2015-08,180,10,1438387200
2015-09,161,18,1441065600
2015-10,207,12,1443657600
2015-11,216,10,1446336000
2015-12,262,18,1448928000
2016-01,157,8,1451606400
2016-02,102,6,1454284800
2016-03,135,6,1456790400
2016-04,147,6,1459468800
2016-05,259,10,1462060800
2016-06,133,8,1464739200
2016-07,99,11,1467331200
2016-08,161,14,1470009600
2016-09,81,10,1472688000
2016-10,59,10,1475280000
2016-11,18,4,1477958400
2016-12,41,8,1480550400
2017-01,43,4,1483228800
2017-02,6,2,1485907200
2017-03,36,9,1488326400
2017-04,36,12,1491004800
2017-05,12,3,1493596800
2017-06,46,11,1496275200
2017-07,9,2,1498867200
2017-08,92,6,1501545600
2017-09,28,4,1504224000
2017-10,20,5,1506816000
2017-11,15,2,1509494400
2017-12,48,3,1512086400
2018-01,32,7,1514764800
2018-02,72,10,1517443200
2018-03,52,9,1519862400
2018-04,15,3,1522540800
2018-05,72,7,1525132800
2018-06,112,17,1527811200
2018-07,357,17,1530403200
2018-08,253,15,1533081600
2018-09,339,9,1535760000
2018-10,337,17,1538352000
2018-11,402,6,1541030400
2018-12,358,10,1543622400
2019-01,88,8,1546300800
2019-02,73,10,1548979200
2019-03,19,9,1551398400
2019-04,33,6,1554076800
2019-05,110,9,1556668800
2019-06,9,4,1559347200
2019-07,43,6,1561939200
2019-08,365,11,1564617600
2019-09,244,8,1567296000
2019-10,83,9,1569888000
2019-11,177,10,1572566400
2019-12,62,14,1575158400
2020-01,91,10,1577836800
2020-02,66,11,1580515200
2020-03,44,11,1583020800
2020-04,75,9,1585699200
2020-05,93,12,1588291200
2020-06,221,13,1590969600
2020-07,175,14,1593561600
2020-08,198,18,1596240000
