YYYY-MM,nCommits,nAuthors,timestamp
2008-09,1,1,1220227200
2010-03,6,1,1267401600
2010-07,3,1,1277942400
2011-01,4,2,1293840000
2011-02,8,4,1296518400
2011-03,4,2,1298937600
2011-04,1,1,1301616000
2011-06,25,6,1306886400
2011-07,17,3,1309478400
2011-08,13,6,1312156800
2011-10,8,2,1317427200
2011-11,21,3,1320105600
2011-12,19,5,1322697600
2012-01,9,7,1325376000
2012-02,81,12,1328054400
2012-03,121,26,1330560000
2012-04,515,80,1333238400
2012-05,848,152,1335830400
2012-06,627,95,1338508800
2012-07,659,138,1341100800
2012-08,359,110,1343779200
2012-09,445,109,1346457600
2012-10,592,137,1349049600
2012-11,242,80,1351728000
2012-12,316,85,1354320000
2013-01,249,79,1356998400
2013-02,316,83,1359676800
2013-03,176,43,1362096000
2013-04,176,56,1364774400
2013-05,129,49,1367366400
2013-06,101,45,1370044800
2013-07,90,36,1372636800
2013-08,43,17,1375315200
2013-09,78,28,1377993600
2013-10,81,28,1380585600
2013-11,50,27,1383264000
2013-12,57,21,1385856000
2014-01,55,24,1388534400
2014-02,56,24,1391212800
2014-03,83,26,1393632000
2014-04,53,24,1396310400
2014-05,63,27,1398902400
2014-06,52,23,1401580800
2014-07,52,25,1404172800
2014-08,37,17,1406851200
2014-09,40,17,1409529600
2014-10,29,10,1412121600
2014-11,37,17,1414800000
2014-12,42,15,1417392000
2015-01,53,22,1420070400
2015-02,50,18,1422748800
2015-03,724,21,1425168000
2015-04,134,18,1427846400
2015-05,285,20,1430438400
2015-06,199,9,1433116800
2015-07,53,6,1435708800
2015-08,48,7,1438387200
2015-09,291,10,1441065600
2015-10,70,5,1443657600
2015-11,15,4,1446336000
2015-12,13,3,1448928000
