YYYY-MM,nCommits,nAuthors,timestamp
2001-09,2,1,999302400
2009-08,1,1,1249084800
2011-07,1,1,1309478400
2011-10,2,2,1317427200
2011-11,3,2,1320105600
2011-12,1,1,1322697600
2012-01,1,1,1325376000
2012-03,5,3,1330560000
2012-04,34,17,1333238400
2012-05,39,19,1335830400
2012-06,120,21,1338508800
2012-07,58,26,1341100800
2012-08,53,35,1343779200
2012-09,28,27,1346457600
2012-10,36,19,1349049600
2012-11,26,22,1351728000
2012-12,55,39,1354320000
2013-01,52,36,1356998400
2013-02,52,40,1359676800
2013-03,106,66,1362096000
2013-04,193,128,1364774400
2013-05,143,106,1367366400
2013-06,140,100,1370044800
2013-07,155,109,1372636800
2013-08,131,84,1375315200
2013-09,114,82,1377993600
2013-10,128,81,1380585600
2013-11,141,101,1383264000
2013-12,101,75,1385856000
2014-01,90,61,1388534400
2014-02,133,83,1391212800
2014-03,103,68,1393632000
2014-04,129,86,1396310400
2014-05,110,64,1398902400
2014-06,89,59,1401580800
2014-07,89,57,1404172800
2014-08,107,63,1406851200
2014-09,101,77,1409529600
2014-10,104,76,1412121600
2014-11,62,48,1414800000
2014-12,58,38,1417392000
2015-01,78,59,1420070400
2015-02,538,58,1422748800
2015-03,461,76,1425168000
2015-04,98,51,1427846400
2015-05,77,51,1430438400
2015-06,64,58,1433116800
2015-07,69,49,1435708800
2015-08,32,25,1438387200
2015-09,54,46,1441065600
2015-10,79,42,1443657600
2015-11,63,47,1446336000
2015-12,38,32,1448928000
2016-01,2,2,1451606400
2016-02,7,7,1454284800
2016-03,4,3,1456790400
2016-04,5,2,1459468800
2016-07,2,2,1467331200
2016-08,2,1,1470009600
2016-09,19,1,1472688000
2016-10,6,2,1475280000
2016-11,2,1,1477958400
2017-01,3,1,1483228800
