YYYY-MM,nCommits,nAuthors,timestamp
2013-01,14,3,1356998400
2013-02,27,2,1359676800
2013-03,134,2,1362096000
2013-04,22,2,1364774400
2013-05,29,2,1367366400
2013-06,60,1,1370044800
2013-07,37,1,1372636800
2013-08,47,2,1375315200
2013-09,10,1,1377993600
2013-10,53,2,1380585600
2013-11,154,3,1383264000
2013-12,73,1,1385856000
2014-01,112,5,1388534400
2014-02,196,4,1391212800
2014-03,119,3,1393632000
2014-04,11,2,1396310400
2014-05,15,3,1398902400
2014-06,61,2,1401580800
2014-07,247,1,1404172800
2014-08,153,1,1406851200
2014-09,93,4,1409529600
2014-10,98,3,1412121600
2014-11,37,3,1414800000
2014-12,114,2,1417392000
2015-01,122,3,1420070400
2015-02,118,2,1422748800
2015-03,18,1,1425168000
2015-04,79,4,1427846400
2015-05,33,4,1430438400
2015-06,40,2,1433116800
2015-07,23,1,1435708800
2015-08,59,7,1438387200
2015-09,48,2,1441065600
2015-10,52,2,1443657600
2015-11,22,2,1446336000
2015-12,17,3,1448928000
2016-01,20,2,1451606400
2016-02,33,2,1454284800
2016-03,70,6,1456790400
2016-04,77,3,1459468800
2016-05,49,4,1462060800
2016-06,23,2,1464739200
2016-07,51,4,1467331200
2016-08,82,9,1470009600
2016-09,60,4,1472688000
2016-10,56,6,1475280000
2016-11,53,5,1477958400
2016-12,54,4,1480550400
2017-01,40,8,1483228800
2017-02,90,8,1485907200
2017-03,13,2,1488326400
2017-04,14,5,1491004800
2017-05,27,4,1493596800
2017-06,22,4,1496275200
2017-07,68,6,1498867200
2017-08,186,8,1501545600
2017-09,60,9,1504224000
2017-10,59,6,1506816000
2017-11,43,6,1509494400
2017-12,49,5,1512086400
2018-01,20,4,1514764800
2018-02,38,3,1517443200
2018-03,77,9,1519862400
2018-04,26,6,1522540800
2018-05,49,11,1525132800
2018-06,37,8,1527811200
2018-07,51,9,1530403200
2018-08,90,17,1533081600
2018-09,43,12,1535760000
2018-10,110,21,1538352000
2018-11,58,17,1541030400
2018-12,154,23,1543622400
2019-01,103,15,1546300800
2019-02,263,15,1548979200
2019-03,194,19,1551398400
2019-04,431,28,1554076800
2019-05,278,25,1556668800
2019-06,664,21,1559347200
2019-07,425,20,1561939200
2019-08,682,22,1564617600
2019-09,472,19,1567296000
2019-10,209,14,1569888000
2019-11,227,18,1572566400
2019-12,321,19,1575158400
2020-01,383,18,1577836800
2020-02,216,24,1580515200
2020-03,298,28,1583020800
2020-04,499,23,1585699200
2020-05,243,24,1588291200
2020-06,290,25,1590969600
2020-07,203,18,1593561600
2020-08,100,21,1596240000
2020-09,28,12,1598918400
