YYYY-MM,nCommits,nAuthors,timestamp
2011-12,16,1,1322697600
2012-01,49,4,1325376000
2012-02,178,3,1328054400
2012-03,411,10,1330560000
2012-04,394,13,1333238400
2012-05,177,9,1335830400
2012-06,196,12,1338508800
2012-07,242,13,1341100800
2012-08,174,10,1343779200
2012-09,67,10,1346457600
2012-10,82,11,1349049600
2012-11,117,10,1351728000
2012-12,166,14,1354320000
2013-01,232,15,1356998400
2013-02,183,10,1359676800
2013-03,202,10,1362096000
2013-04,225,11,1364774400
2013-05,246,8,1367366400
2013-06,191,13,1370044800
2013-07,251,15,1372636800
2013-08,279,16,1375315200
2013-09,219,22,1377993600
2013-10,708,27,1380585600
2013-11,415,29,1383264000
2013-12,479,37,1385856000
2014-01,582,35,1388534400
2014-02,529,35,1391212800
2014-03,475,45,1393632000
2014-04,358,27,1396310400
2014-05,366,31,1398902400
2014-06,357,31,1401580800
2014-07,444,30,1404172800
2014-08,604,35,1406851200
2014-09,330,33,1409529600
2014-10,403,32,1412121600
2014-11,277,32,1414800000
2014-12,595,39,1417392000
2015-01,701,39,1420070400
2015-02,453,29,1422748800
2015-03,715,43,1425168000
2015-04,612,41,1427846400
2015-05,403,37,1430438400
2015-06,416,30,1433116800
2015-07,358,28,1435708800
2015-08,300,27,1438387200
2015-09,254,25,1441065600
2015-10,285,28,1443657600
2015-11,396,37,1446336000
2015-12,327,27,1448928000
2016-01,220,31,1451606400
2016-02,154,20,1454284800
2016-03,172,21,1456790400
2016-04,287,36,1459468800
2016-05,254,33,1462060800
2016-06,168,24,1464739200
2016-07,185,33,1467331200
2016-08,292,21,1470009600
2016-09,344,55,1472688000
2016-10,349,38,1475280000
2016-11,528,49,1477958400
2016-12,391,36,1480550400
2017-01,253,32,1483228800
2017-02,412,47,1485907200
2017-03,394,41,1488326400
2017-04,308,64,1491004800
2017-05,346,60,1493596800
2017-06,418,45,1496275200
2017-07,456,42,1498867200
2017-08,325,31,1501545600
2017-09,373,36,1504224000
2017-10,277,31,1506816000
2017-11,401,35,1509494400
2017-12,466,36,1512086400
2018-01,376,45,1514764800
2018-02,219,27,1517443200
2018-03,332,44,1519862400
2018-04,369,45,1522540800
2018-05,253,31,1525132800
2018-06,139,20,1527811200
2018-07,200,31,1530403200
2018-08,298,32,1533081600
2018-09,218,30,1535760000
2018-10,336,40,1538352000
2018-11,312,31,1541030400
2018-12,186,33,1543622400
2019-01,348,38,1546300800
2019-02,553,43,1548979200
2019-03,908,42,1551398400
2019-04,392,37,1554076800
2019-05,276,29,1556668800
2019-06,84,31,1559347200
2019-07,35,13,1561939200
