YYYY-MM,nCommits,nAuthors,timestamp
2007-02,25,1,1170288000
2007-03,35,1,1172707200
2007-04,19,2,1175385600
2007-05,36,2,1177977600
2007-06,27,1,1180656000
2007-07,11,1,1183248000
2007-08,10,1,1185926400
2007-09,21,1,1188604800
2007-10,27,2,1191196800
2007-11,24,1,1193875200
2007-12,17,1,1196467200
2008-01,114,1,1199145600
2008-02,13,1,1201824000
2008-03,12,1,1204329600
2008-04,4,1,1207008000
2008-05,15,2,1209600000
2008-06,10,4,1212278400
2008-07,18,6,1214870400
2008-08,7,3,1217548800
2008-09,9,5,1220227200
2008-10,5,1,1222819200
2008-11,14,4,1225497600
2008-12,25,5,1228089600
2009-01,11,5,1230768000
2009-02,9,4,1233446400
2009-03,7,3,1235865600
2009-04,15,5,1238544000
2009-05,29,6,1241136000
2009-06,15,4,1243814400
2009-07,9,4,1246406400
2009-08,11,6,1249084800
2009-09,11,3,1251763200
2009-10,13,3,1254355200
2009-11,1,1,1257033600
2009-12,14,7,1259625600
2010-01,6,2,1262304000
2010-02,28,8,1264982400
2010-03,10,7,1267401600
2010-04,7,4,1270080000
2010-05,9,4,1272672000
2010-06,6,5,1275350400
2010-07,15,7,1277942400
2010-08,23,9,1280620800
2010-09,26,8,1283299200
2010-10,35,12,1285891200
2010-11,22,10,1288569600
2010-12,16,9,1291161600
2011-01,51,15,1293840000
2011-02,68,20,1296518400
2011-03,52,13,1298937600
2011-04,55,15,1301616000
2011-05,110,21,1304208000
2011-06,109,18,1306886400
2011-07,80,20,1309478400
2011-08,73,22,1312156800
2011-09,36,19,1314835200
2011-10,57,13,1317427200
2011-11,65,18,1320105600
2011-12,42,14,1322697600
2012-01,37,19,1325376000
2012-02,162,26,1328054400
2012-03,151,28,1330560000
2012-04,81,21,1333238400
2012-05,84,17,1335830400
2012-06,94,27,1338508800
2012-07,113,30,1341100800
2012-08,93,26,1343779200
2012-09,66,14,1346457600
2012-10,119,17,1349049600
2012-11,135,29,1351728000
2012-12,96,29,1354320000
2013-01,78,23,1356998400
2013-02,136,34,1359676800
2013-03,101,34,1362096000
2013-04,123,32,1364774400
2013-05,138,47,1367366400
2013-06,138,23,1370044800
2013-07,138,51,1372636800
2013-08,212,43,1375315200
2013-09,114,29,1377993600
2013-10,159,51,1380585600
2013-11,178,34,1383264000
2013-12,176,37,1385856000
2014-01,193,42,1388534400
2014-02,211,48,1391212800
2014-03,209,33,1393632000
2014-04,244,50,1396310400
2014-05,276,64,1398902400
2014-06,160,41,1401580800
2014-07,126,35,1404172800
2014-08,127,40,1406851200
2014-09,117,36,1409529600
2014-10,149,36,1412121600
2014-11,89,22,1414800000
2014-12,95,31,1417392000
2015-01,129,27,1420070400
2015-02,99,37,1422748800
2015-03,134,41,1425168000
2015-04,90,28,1427846400
2015-05,155,37,1430438400
2015-06,158,55,1433116800
2015-07,189,43,1435708800
2015-08,127,23,1438387200
2015-09,89,22,1441065600
2015-10,158,40,1443657600
2015-11,136,31,1446336000
2015-12,141,22,1448928000
2016-01,125,26,1451606400
2016-02,79,13,1454284800
2016-03,127,23,1456790400
2016-04,133,19,1459468800
2016-05,156,28,1462060800
2016-06,142,34,1464739200
2016-07,165,41,1467331200
2016-08,67,21,1470009600
2016-09,85,17,1472688000
2016-10,67,22,1475280000
2016-11,106,29,1477958400
2016-12,88,27,1480550400
2017-01,82,25,1483228800
2017-02,181,35,1485907200
2017-03,98,27,1488326400
2017-04,74,33,1491004800
2017-05,96,33,1493596800
2017-06,539,240,1496275200
2017-07,103,29,1498867200
2017-08,123,35,1501545600
2017-09,111,32,1504224000
2017-10,110,45,1506816000
2017-11,52,17,1509494400
2017-12,81,22,1512086400
2018-01,100,36,1514764800
2018-02,131,36,1517443200
2018-03,153,57,1519862400
2018-04,73,25,1522540800
2018-05,102,22,1525132800
2018-06,137,54,1527811200
2018-07,100,32,1530403200
2018-08,75,28,1533081600
2018-09,49,18,1535760000
2018-10,56,19,1538352000
2018-11,105,21,1541030400
2018-12,93,49,1543622400
2019-01,72,19,1546300800
2019-02,82,47,1548979200
2019-03,85,41,1551398400
2019-04,63,31,1554076800
2019-05,84,34,1556668800
2019-06,70,30,1559347200
2019-07,56,28,1561939200
2019-08,57,30,1564617600
2019-09,112,42,1567296000
2019-10,100,22,1569888000
2019-11,74,23,1572566400
2019-12,40,14,1575158400
2020-01,44,16,1577836800
2020-02,94,39,1580515200
2020-03,54,31,1583020800
2020-04,38,15,1585699200
2020-05,65,18,1588291200
2020-06,81,22,1590969600
2020-07,26,16,1593561600
2020-08,125,53,1596240000
2020-09,2,2,1598918400
