YYYY-MM,nCommits,nAuthors,timestamp
2005-02,10,2,1107216000
2005-03,4,2,1109635200
2005-04,14,3,1112313600
2005-05,45,3,1114905600
2005-06,24,3,1117584000
2005-07,35,3,1120176000
2005-08,36,2,1122854400
2005-09,48,3,1125532800
2005-10,37,2,1128124800
2005-11,75,2,1130803200
2005-12,76,2,1133395200
2006-01,103,3,1136073600
2006-02,49,3,1138752000
2006-03,52,4,1141171200
2006-04,29,2,1143849600
2006-05,50,2,1146441600
2006-06,42,5,1149120000
2006-07,99,4,1151712000
2006-08,61,3,1154390400
2006-09,31,3,1157068800
2006-10,57,3,1159660800
2006-11,30,3,1162339200
2006-12,17,3,1164931200
2007-01,26,2,1167609600
2007-02,75,3,1170288000
2007-03,64,5,1172707200
2007-04,42,3,1175385600
2007-05,9,1,1177977600
2007-06,17,4,1180656000
2007-07,29,4,1183248000
2007-08,36,6,1185926400
2007-09,24,4,1188604800
2007-10,14,4,1191196800
2007-11,42,5,1193875200
2007-12,26,5,1196467200
2008-01,53,5,1199145600
2008-02,102,6,1201824000
2008-03,47,7,1204329600
2008-04,31,5,1207008000
2008-05,31,6,1209600000
2008-06,20,3,1212278400
2008-07,35,4,1214870400
2008-08,24,5,1217548800
2008-09,50,6,1220227200
2008-10,30,4,1222819200
2008-11,12,4,1225497600
2008-12,14,3,1228089600
2009-01,65,6,1230768000
2009-02,22,6,1233446400
2009-03,51,5,1235865600
2009-04,20,3,1238544000
2009-05,29,4,1241136000
2009-06,25,3,1243814400
2009-07,21,2,1246406400
2009-08,26,3,1249084800
2009-09,11,4,1251763200
2009-10,37,5,1254355200
2009-11,21,5,1257033600
2009-12,29,6,1259625600
2010-01,17,5,1262304000
2010-02,12,3,1264982400
2010-03,19,3,1267401600
2010-04,12,4,1270080000
2010-05,17,3,1272672000
2010-06,61,7,1275350400
2010-07,132,7,1277942400
2010-08,77,5,1280620800
2010-09,70,5,1283299200
2010-10,67,4,1285891200
2010-11,53,4,1288569600
2010-12,47,3,1291161600
2011-01,37,3,1293840000
2011-02,40,3,1296518400
2011-03,44,3,1298937600
2011-04,31,3,1301616000
2011-05,38,3,1304208000
2011-06,86,3,1306886400
2011-07,83,5,1309478400
2011-08,80,5,1312156800
2011-09,95,5,1314835200
2011-10,157,5,1317427200
2011-11,99,4,1320105600
2011-12,127,4,1322697600
2012-01,93,4,1325376000
2012-02,87,4,1328054400
2012-03,59,5,1330560000
2012-04,27,3,1333238400
2012-05,99,3,1335830400
2012-06,163,3,1338508800
2012-07,98,2,1341100800
2012-08,127,4,1343779200
2012-09,92,3,1346457600
2012-10,132,4,1349049600
2012-11,147,6,1351728000
2012-12,304,26,1354320000
2013-01,341,20,1356998400
2013-02,196,13,1359676800
2013-03,296,10,1362096000
2013-04,355,18,1364774400
2013-05,305,12,1367366400
2013-06,240,17,1370044800
2013-07,218,8,1372636800
2013-08,233,16,1375315200
2013-09,196,15,1377993600
2013-10,252,15,1380585600
2013-11,160,9,1383264000
2013-12,124,6,1385856000
2014-01,156,6,1388534400
2014-02,158,10,1391212800
2014-03,186,10,1393632000
2014-04,123,6,1396310400
2014-05,203,9,1398902400
2014-06,77,9,1401580800
2014-07,77,7,1404172800
2014-08,145,9,1406851200
2014-09,189,15,1409529600
2014-10,216,11,1412121600
2014-11,83,9,1414800000
2014-12,94,6,1417392000
2015-01,103,6,1420070400
2015-02,88,7,1422748800
2015-03,168,9,1425168000
2015-04,178,6,1427846400
2015-05,212,10,1430438400
2015-06,183,4,1433116800
2015-07,109,6,1435708800
2015-08,165,8,1438387200
2015-09,157,15,1441065600
2015-10,266,9,1443657600
2015-11,197,9,1446336000
2015-12,56,6,1448928000
2016-01,128,4,1451606400
2016-02,193,4,1454284800
2016-03,183,9,1456790400
2016-04,172,7,1459468800
2016-05,163,14,1462060800
2016-06,176,8,1464739200
2016-07,106,6,1467331200
2016-08,128,6,1470009600
2016-09,137,9,1472688000
2016-10,151,8,1475280000
2016-11,92,5,1477958400
2016-12,159,4,1480550400
2017-01,111,5,1483228800
2017-02,158,4,1485907200
2017-03,177,5,1488326400
2017-04,146,13,1491004800
2017-05,110,8,1493596800
2017-06,10,3,1496275200
2017-07,11,3,1498867200
2017-08,10,2,1501545600
2017-09,39,5,1504224000
2017-10,26,2,1506816000
2017-11,7,4,1509494400
2017-12,5,3,1512086400
2018-01,4,1,1514764800
2018-02,16,1,1517443200
2018-03,28,2,1519862400
2018-04,11,1,1522540800
2018-05,4,2,1525132800
2018-06,15,1,1527811200
2018-07,3,1,1530403200
2018-08,4,2,1533081600
2018-09,9,1,1535760000
2018-10,3,3,1538352000
2018-11,10,7,1541030400
2018-12,7,6,1543622400
2019-01,2,2,1546300800
2019-02,3,2,1548979200
2019-03,6,3,1551398400
2019-04,3,1,1554076800
2019-05,3,2,1556668800
2019-06,6,3,1559347200
2019-07,13,2,1561939200
2019-08,17,3,1564617600
2019-09,6,1,1567296000
2019-10,6,1,1569888000
2019-11,8,5,1572566400
2019-12,5,3,1575158400
2020-01,2,1,1577836800
2020-04,2,1,1585699200
2020-05,1,1,1588291200
2020-06,5,5,1590969600
