YYYY-MM,nCommits,nAuthors,timestamp
2014-12,45,3,1417392000
2015-01,1,1,1420070400
2015-02,89,9,1422748800
2015-03,16,4,1425168000
2015-04,21,9,1427846400
2015-05,3,3,1430438400
2015-06,10,6,1433116800
2015-07,60,6,1435708800
2015-08,29,4,1438387200
2015-09,88,6,1441065600
2015-10,249,12,1443657600
2015-11,236,18,1446336000
2015-12,76,13,1448928000
2016-01,57,13,1451606400
2016-02,192,13,1454284800
2016-03,110,15,1456790400
2016-04,67,12,1459468800
2016-05,187,16,1462060800
2016-06,181,23,1464739200
2016-07,221,19,1467331200
2016-08,170,22,1470009600
2016-09,152,16,1472688000
2016-10,147,14,1475280000
2016-11,102,14,1477958400
2016-12,754,17,1480550400
2017-01,610,21,1483228800
2017-02,237,23,1485907200
2017-03,179,28,1488326400
2017-04,87,17,1491004800
2017-05,142,19,1493596800
2017-06,74,18,1496275200
2017-07,102,17,1498867200
2017-08,99,19,1501545600
2017-09,56,15,1504224000
2017-10,28,8,1506816000
2017-11,46,20,1509494400
2017-12,109,23,1512086400
2018-01,90,10,1514764800
2018-02,63,13,1517443200
2018-03,63,18,1519862400
2018-04,47,12,1522540800
2018-05,21,8,1525132800
2018-06,70,14,1527811200
2018-07,63,15,1530403200
2018-08,44,14,1533081600
2018-09,62,10,1535760000
2018-10,94,13,1538352000
2018-11,62,20,1541030400
2018-12,33,8,1543622400
2019-01,47,11,1546300800
2019-02,43,12,1548979200
2019-03,45,14,1551398400
2019-04,44,11,1554076800
2019-05,23,6,1556668800
2019-06,40,11,1559347200
2019-07,83,12,1561939200
2019-08,72,9,1564617600
2019-09,37,7,1567296000
2019-10,72,9,1569888000
2019-11,57,10,1572566400
2019-12,31,10,1575158400
2020-01,48,14,1577836800
2020-02,55,12,1580515200
2020-03,91,15,1583020800
2020-04,73,11,1585699200
2020-05,51,9,1588291200
2020-06,29,10,1590969600
2020-07,41,12,1593561600
2020-08,20,12,1596240000
2020-09,10,7,1598918400
