YYYY-MM,nCommits,nAuthors,timestamp
2009-10,101,2,1254355200
2009-11,93,4,1257033600
2009-12,26,2,1259625600
2010-01,51,1,1262304000
2010-02,126,2,1264982400
2010-03,56,3,1267401600
2010-04,30,2,1270080000
2010-05,9,1,1272672000
2010-06,18,1,1275350400
2010-07,23,1,1277942400
2010-08,20,1,1280620800
2010-09,51,2,1283299200
2010-10,85,1,1285891200
2010-11,31,1,1288569600
2011-02,5,1,1296518400
2011-03,12,1,1298937600
2011-04,43,2,1301616000
2011-05,3,1,1304208000
2011-06,61,2,1306886400
2011-07,60,2,1309478400
2011-08,16,2,1312156800
2011-09,81,2,1314835200
2011-10,22,2,1317427200
2011-11,74,5,1320105600
2011-12,59,8,1322697600
2012-01,47,4,1325376000
2012-02,91,2,1328054400
2012-03,132,5,1330560000
2012-04,169,4,1333238400
2012-05,110,4,1335830400
2012-06,65,3,1338508800
2012-07,102,4,1341100800
2012-08,57,5,1343779200
2012-09,96,4,1346457600
2012-10,60,2,1349049600
2012-11,43,3,1351728000
2012-12,74,3,1354320000
2013-01,68,3,1356998400
2013-02,133,4,1359676800
2013-03,102,5,1362096000
2013-04,72,3,1364774400
2013-05,95,3,1367366400
2013-06,37,4,1370044800
2013-07,83,6,1372636800
2013-08,91,6,1375315200
2013-09,72,3,1377993600
2013-10,47,3,1380585600
2013-11,33,3,1383264000
2013-12,42,2,1385856000
2014-01,81,3,1388534400
2014-02,71,3,1391212800
2014-03,85,3,1393632000
2014-04,65,2,1396310400
2014-05,68,3,1398902400
2014-06,85,2,1401580800
2014-07,48,1,1404172800
2014-08,46,2,1406851200
2014-09,88,1,1409529600
2014-10,65,1,1412121600
2014-11,43,2,1414800000
2014-12,36,1,1417392000
2015-01,86,2,1420070400
2015-02,94,1,1422748800
2015-03,18,1,1425168000
2015-04,52,2,1427846400
2015-05,41,2,1430438400
2015-06,13,2,1433116800
2015-07,25,2,1435708800
2015-08,21,2,1438387200
2015-09,83,2,1441065600
2015-10,70,1,1443657600
2015-11,70,2,1446336000
2015-12,211,3,1448928000
2016-01,194,3,1451606400
2016-02,108,1,1454284800
2016-03,134,3,1456790400
2016-04,288,1,1459468800
2016-05,251,2,1462060800
2016-06,46,2,1464739200
2016-07,155,2,1467331200
2016-08,482,2,1470009600
2016-09,176,5,1472688000
2016-10,107,2,1475280000
2016-11,224,2,1477958400
2016-12,115,2,1480550400
2017-01,185,1,1483228800
2017-02,145,1,1485907200
2017-03,156,2,1488326400
2017-04,61,3,1491004800
2017-05,66,1,1493596800
2017-06,80,1,1496275200
2017-07,98,1,1498867200
2017-08,127,2,1501545600
2017-09,179,1,1504224000
2017-10,199,1,1506816000
2017-11,200,2,1509494400
2017-12,142,1,1512086400
2018-01,50,1,1514764800
2018-02,73,1,1517443200
2018-03,120,1,1519862400
2018-04,116,4,1522540800
2018-05,44,2,1525132800
2018-06,45,1,1527811200
2018-07,95,3,1530403200
2018-08,94,1,1533081600
2018-09,74,2,1535760000
2018-10,170,2,1538352000
2018-11,50,2,1541030400
2018-12,52,1,1543622400
2019-01,43,2,1546300800
2019-02,80,1,1548979200
2019-03,96,1,1551398400
2019-04,57,1,1554076800
2019-05,37,3,1556668800
2019-06,34,1,1559347200
2019-07,51,1,1561939200
2019-08,30,1,1564617600
2019-09,21,1,1567296000
2019-10,11,1,1569888000
2019-11,17,1,1572566400
2019-12,42,1,1575158400
2020-01,19,2,1577836800
2020-02,51,1,1580515200
2020-03,108,5,1583020800
2020-04,165,5,1585699200
2020-05,113,5,1588291200
2020-06,31,4,1590969600
2020-07,16,3,1593561600
2020-08,29,3,1596240000
2020-09,14,2,1598918400
