YYYY-MM,nCommits,nAuthors,timestamp
2006-05,46,3,1146441600
2006-06,30,1,1149120000
2006-07,7,1,1151712000
2006-08,1,1,1154390400
2006-09,4,1,1157068800
2006-10,31,3,1159660800
2006-11,23,2,1162339200
2006-12,47,2,1164931200
2007-01,37,2,1167609600
2007-02,63,4,1170288000
2007-03,28,3,1172707200
2007-04,77,5,1175385600
2007-05,220,5,1177977600
2007-06,100,5,1180656000
2007-07,118,5,1183248000
2007-08,67,4,1185926400
2007-09,149,6,1188604800
2007-10,148,11,1191196800
2007-11,148,10,1193875200
2007-12,74,10,1196467200
2008-01,196,10,1199145600
2008-02,122,9,1201824000
2008-03,155,10,1204329600
2008-04,211,10,1207008000
2008-05,146,12,1209600000
2008-06,224,11,1212278400
2008-07,58,11,1214870400
2008-08,60,7,1217548800
2008-09,90,8,1220227200
2008-10,162,12,1222819200
2008-11,358,15,1225497600
2008-12,144,12,1228089600
2009-01,206,11,1230768000
2009-02,332,11,1233446400
2009-03,466,11,1235865600
2009-04,222,12,1238544000
2009-05,170,12,1241136000
2009-06,219,11,1243814400
2009-07,291,11,1246406400
2009-08,129,13,1249084800
2009-09,86,8,1251763200
2009-10,133,9,1254355200
2009-11,466,13,1257033600
2009-12,257,16,1259625600
2010-01,158,16,1262304000
2010-02,225,15,1264982400
2010-03,514,15,1267401600
2010-04,295,13,1270080000
2010-05,405,16,1272672000
2010-06,261,15,1275350400
2010-07,329,13,1277942400
2010-08,120,13,1280620800
2010-09,308,13,1283299200
2010-10,112,10,1285891200
2010-11,198,11,1288569600
2010-12,189,11,1291161600
2011-01,93,9,1293840000
2011-02,132,11,1296518400
2011-03,256,13,1298937600
2011-04,416,14,1301616000
2011-05,411,14,1304208000
2011-06,403,11,1306886400
2011-07,491,12,1309478400
2011-08,435,12,1312156800
2011-09,291,11,1314835200
2011-10,332,14,1317427200
2011-11,277,14,1320105600
2011-12,108,10,1322697600
2012-01,573,11,1325376000
2012-02,529,12,1328054400
2012-03,222,12,1330560000
2012-04,166,13,1333238400
2012-05,162,11,1335830400
2012-06,241,14,1338508800
2012-07,130,11,1341100800
2012-08,124,13,1343779200
2012-09,99,12,1346457600
2012-10,101,12,1349049600
2012-11,134,12,1351728000
2012-12,110,9,1354320000
2013-01,152,10,1356998400
2013-02,194,9,1359676800
2013-03,128,9,1362096000
2013-04,129,12,1364774400
2013-05,267,11,1367366400
2013-06,102,8,1370044800
2013-07,146,12,1372636800
2013-08,308,12,1375315200
2013-09,117,7,1377993600
2013-10,173,12,1380585600
2013-11,174,17,1383264000
2013-12,69,15,1385856000
2014-01,169,15,1388534400
2014-02,240,15,1391212800
2014-03,150,16,1393632000
2014-04,91,13,1396310400
2014-05,183,21,1398902400
2014-06,145,17,1401580800
2014-07,480,21,1404172800
2014-08,295,21,1406851200
2014-09,235,16,1409529600
2014-10,512,18,1412121600
2014-11,279,19,1414800000
2014-12,114,15,1417392000
2015-01,344,17,1420070400
2015-02,458,22,1422748800
2015-03,244,18,1425168000
2015-04,117,21,1427846400
2015-05,154,12,1430438400
2015-06,123,14,1433116800
2015-07,175,12,1435708800
2015-08,38,6,1438387200
2015-09,166,10,1441065600
2015-10,170,8,1443657600
2015-11,145,10,1446336000
2015-12,43,8,1448928000
2016-01,134,13,1451606400
2016-02,202,12,1454284800
2016-03,93,7,1456790400
2016-04,164,9,1459468800
2016-05,157,9,1462060800
2016-06,304,11,1464739200
2016-07,130,10,1467331200
2016-08,126,7,1470009600
2016-09,107,7,1472688000
2016-10,85,6,1475280000
2016-11,142,9,1477958400
2016-12,59,6,1480550400
2017-01,65,5,1483228800
2017-02,31,2,1485907200
2017-03,81,10,1488326400
2017-04,60,4,1491004800
2017-05,66,8,1493596800
2017-06,42,5,1496275200
2017-07,67,9,1498867200
2017-08,9,4,1501545600
2017-09,32,4,1504224000
2017-10,22,7,1506816000
2017-11,39,6,1509494400
2017-12,41,5,1512086400
2018-01,21,4,1514764800
2018-02,15,3,1517443200
2018-03,72,5,1519862400
2018-04,44,7,1522540800
2018-05,53,9,1525132800
2018-06,46,9,1527811200
2018-07,73,10,1530403200
2018-08,149,8,1533081600
2018-09,131,6,1535760000
2018-10,128,5,1538352000
2018-11,204,7,1541030400
2018-12,227,5,1543622400
2019-01,51,2,1546300800
2019-02,21,1,1548979200
2019-03,4,1,1551398400
2019-05,2,1,1556668800
2019-06,1,1,1559347200
2019-07,41,3,1561939200
2019-08,13,4,1564617600
2019-09,3,1,1567296000
2019-11,15,4,1572566400
2019-12,60,6,1575158400
2020-01,27,4,1577836800
2020-02,8,2,1580515200
2020-03,1,1,1583020800
2020-04,16,1,1585699200
2020-05,8,2,1588291200
2020-06,13,3,1590969600
2020-07,23,2,1593561600
2020-08,12,3,1596240000
