YYYY-MM,nCommits,nAuthors,timestamp
2012-01,1,1,1325376000
2012-04,10,3,1333238400
2012-05,9,2,1335830400
2012-06,85,5,1338508800
2012-07,73,8,1341100800
2012-08,66,5,1343779200
2012-09,43,5,1346457600
2012-10,64,5,1349049600
2012-11,49,6,1351728000
2012-12,42,6,1354320000
2013-01,130,8,1356998400
2013-02,97,9,1359676800
2013-03,90,12,1362096000
2013-04,116,10,1364774400
2013-05,85,13,1367366400
2013-06,104,11,1370044800
2013-07,96,9,1372636800
2013-08,120,11,1375315200
2013-09,75,12,1377993600
2013-10,80,12,1380585600
2013-11,76,9,1383264000
2013-12,67,11,1385856000
2014-01,88,12,1388534400
2014-02,95,10,1391212800
2014-03,88,11,1393632000
2014-04,87,11,1396310400
2014-05,107,15,1398902400
2014-06,86,12,1401580800
2014-07,116,11,1404172800
2014-08,79,13,1406851200
2014-09,50,12,1409529600
2014-10,101,13,1412121600
2014-11,96,12,1414800000
2014-12,118,10,1417392000
2015-01,72,16,1420070400
2015-02,127,16,1422748800
2015-03,101,14,1425168000
2015-04,82,17,1427846400
2015-05,85,14,1430438400
2015-06,188,15,1433116800
2015-07,247,10,1435708800
2015-08,314,10,1438387200
2015-09,435,11,1441065600
2015-10,327,11,1443657600
2015-11,370,13,1446336000
2015-12,323,12,1448928000
2016-01,315,12,1451606400
2016-02,483,12,1454284800
2016-03,446,12,1456790400
2016-04,387,11,1459468800
2016-05,639,13,1462060800
2016-06,394,11,1464739200
2016-07,315,12,1467331200
2016-08,321,13,1470009600
2016-09,278,11,1472688000
2016-10,387,13,1475280000
2016-11,533,11,1477958400
2016-12,312,11,1480550400
2017-01,198,11,1483228800
2017-02,290,13,1485907200
2017-03,406,12,1488326400
2017-04,257,11,1491004800
2017-05,402,10,1493596800
2017-06,352,10,1496275200
2017-07,311,9,1498867200
2017-08,307,15,1501545600
2017-09,194,10,1504224000
2017-10,137,11,1506816000
2017-11,113,9,1509494400
2017-12,230,9,1512086400
2018-01,383,11,1514764800
2018-02,333,12,1517443200
2018-03,349,10,1519862400
2018-04,277,12,1522540800
2018-05,223,12,1525132800
2018-06,257,11,1527811200
2018-07,640,12,1530403200
2018-08,338,9,1533081600
2018-09,238,9,1535760000
2018-10,258,9,1538352000
