YYYY-MM,nCommits,nAuthors,timestamp
2013-08,44,1,1375315200
2013-10,2,1,1380585600
2013-11,1,1,1383264000
2013-12,60,9,1385856000
2014-01,258,7,1388534400
2014-02,164,6,1391212800
2014-03,84,7,1393632000
2014-04,22,4,1396310400
2014-05,140,6,1398902400
2014-06,272,8,1401580800
2014-07,97,5,1404172800
2014-08,15,2,1406851200
2014-09,96,7,1409529600
2014-10,33,4,1412121600
2014-11,20,3,1414800000
2014-12,29,4,1417392000
2015-01,14,3,1420070400
2015-02,8,3,1422748800
2015-03,26,4,1425168000
2015-04,63,5,1427846400
2015-05,26,4,1430438400
2015-06,32,4,1433116800
2015-07,47,5,1435708800
2015-08,66,5,1438387200
2015-09,166,7,1441065600
2015-10,84,6,1443657600
2015-11,86,6,1446336000
2015-12,29,7,1448928000
2016-01,50,8,1451606400
2016-02,58,9,1454284800
2016-03,73,9,1456790400
2016-04,112,9,1459468800
2016-05,96,9,1462060800
2016-06,75,7,1464739200
2016-07,85,8,1467331200
2016-08,141,9,1470009600
2016-09,38,6,1472688000
2016-10,39,5,1475280000
2016-11,105,6,1477958400
2016-12,61,4,1480550400
2017-01,82,6,1483228800
2017-02,49,4,1485907200
2017-03,84,6,1488326400
2017-04,58,5,1491004800
2017-05,63,6,1493596800
2017-06,98,11,1496275200
2017-07,53,12,1498867200
2017-08,98,12,1501545600
2017-09,91,13,1504224000
2017-10,87,13,1506816000
2017-11,136,15,1509494400
2017-12,91,13,1512086400
2018-01,107,10,1514764800
2018-02,438,9,1517443200
2018-03,188,15,1519862400
2018-04,170,14,1522540800
2018-05,92,14,1525132800
2018-06,43,7,1527811200
2018-07,40,6,1530403200
2018-08,70,11,1533081600
2018-09,38,8,1535760000
2018-10,31,4,1538352000
2018-11,37,4,1541030400
2018-12,14,2,1543622400
2019-01,30,2,1546300800
2019-02,34,2,1548979200
2019-03,45,4,1551398400
2019-04,13,2,1554076800
2019-05,17,2,1556668800
2019-06,33,6,1559347200
2019-07,10,3,1561939200
2019-08,4,1,1564617600
2019-09,8,3,1567296000
2019-10,7,2,1569888000
2019-11,11,2,1572566400
2019-12,8,1,1575158400
2020-01,22,2,1577836800
2020-02,10,3,1580515200
2020-03,12,3,1583020800
2020-04,6,2,1585699200
2020-06,30,1,1590969600
2020-08,2,2,1596240000
