YYYY-MM,nCommits,nAuthors,timestamp
2001-08,14,2,996624000
2001-09,9,1,999302400
2001-10,47,3,1001894400
2001-11,126,3,1004572800
2001-12,72,2,1007164800
2002-01,119,3,1009843200
2002-02,87,2,1012521600
2002-03,84,3,1014940800
2002-04,85,2,1017619200
2002-05,92,3,1020211200
2002-06,54,2,1022889600
2002-07,74,2,1025481600
2002-08,87,2,1028160000
2002-09,32,1,1030838400
2002-10,125,3,1033430400
2002-11,155,2,1036108800
2002-12,116,3,1038700800
2003-01,182,3,1041379200
2003-02,128,3,1044057600
2003-03,127,3,1046476800
2003-04,79,2,1049155200
2003-05,73,4,1051747200
2003-06,112,2,1054425600
2003-07,100,1,1057017600
2003-08,107,4,1059696000
2003-09,117,3,1062374400
2003-10,101,4,1064966400
2003-11,128,3,1067644800
2003-12,90,3,1070236800
2004-01,68,3,1072915200
2004-02,52,3,1075593600
2004-03,102,3,1078099200
2004-04,128,3,1080777600
2004-05,96,3,1083369600
2004-06,70,3,1086048000
2004-07,22,3,1088640000
2004-08,20,3,1091318400
2004-10,85,3,1096588800
2004-11,53,2,1099267200
2004-12,109,1,1101859200
2005-01,71,2,1104537600
2005-02,27,3,1107216000
2005-03,70,2,1109635200
2005-04,63,3,1112313600
2005-05,8,3,1114905600
2005-06,36,3,1117584000
2005-07,1,1,1120176000
2005-08,27,3,1122854400
2005-09,34,4,1125532800
2005-10,14,4,1128124800
2005-11,13,4,1130803200
2005-12,12,2,1133395200
2006-01,56,2,1136073600
2006-02,19,3,1138752000
2006-03,10,3,1141171200
2006-04,5,2,1143849600
2006-05,3,1,1146441600
2006-06,4,1,1149120000
2006-07,22,4,1151712000
2006-08,20,3,1154390400
2006-09,7,1,1157068800
2006-10,6,1,1159660800
2006-11,23,1,1162339200
2006-12,2,1,1164931200
2007-01,4,2,1167609600
2007-03,6,3,1172707200
2007-04,6,3,1175385600
2007-05,10,2,1177977600
2007-06,12,3,1180656000
2007-07,16,3,1183248000
2007-08,3,2,1185926400
2007-09,2,1,1188604800
2007-11,12,3,1193875200
2007-12,25,2,1196467200
2008-01,60,3,1199145600
2008-02,34,2,1201824000
2008-03,30,2,1204329600
2008-04,21,1,1207008000
2008-05,1,1,1209600000
2008-06,5,3,1212278400
2008-07,35,2,1214870400
2008-08,3,1,1217548800
2008-09,14,1,1220227200
2008-10,55,2,1222819200
2008-11,48,2,1225497600
2008-12,17,2,1228089600
2009-01,3,1,1230768000
2009-03,16,2,1235865600
2009-04,87,4,1238544000
2009-05,95,6,1241136000
2009-06,59,6,1243814400
2009-07,92,4,1246406400
2009-08,66,3,1249084800
2009-09,39,5,1251763200
2009-10,39,4,1254355200
2009-11,50,5,1257033600
2009-12,10,5,1259625600
2010-01,10,5,1262304000
2010-02,23,5,1264982400
2010-03,20,1,1267401600
2010-04,40,3,1270080000
2010-05,3,1,1272672000
2010-06,9,2,1275350400
2010-07,10,1,1277942400
2010-08,4,1,1280620800
2010-09,13,3,1283299200
2010-10,57,1,1285891200
2010-11,20,1,1288569600
2010-12,32,2,1291161600
2011-01,22,2,1293840000
2011-02,17,2,1296518400
2011-03,26,3,1298937600
2011-04,3,2,1301616000
2011-05,5,2,1304208000
2011-07,2,1,1309478400
2011-08,5,1,1312156800
2011-09,1,1,1314835200
2011-10,7,2,1317427200
2011-11,6,1,1320105600
2011-12,9,5,1322697600
2012-01,15,3,1325376000
2012-02,3,1,1328054400
2012-05,21,6,1335830400
2012-06,4,2,1338508800
2012-07,2,2,1341100800
2012-08,1,1,1343779200
2012-11,11,3,1351728000
2012-12,38,7,1354320000
2013-01,36,3,1356998400
2013-03,2,2,1362096000
2013-04,18,2,1364774400
2013-05,3,1,1367366400
2013-06,28,2,1370044800
2013-07,1,1,1372636800
2013-08,26,4,1375315200
2013-09,11,6,1377993600
2013-10,6,3,1380585600
2013-11,10,3,1383264000
2014-02,1,1,1391212800
2014-03,21,3,1393632000
2014-04,41,6,1396310400
2014-05,7,3,1398902400
2014-06,2,1,1401580800
2014-08,15,2,1406851200
2014-09,8,2,1409529600
2014-10,2,2,1412121600
2014-11,1,1,1414800000
2014-12,6,3,1417392000
2015-01,3,1,1420070400
2015-03,7,3,1425168000
2015-05,1,1,1430438400
2015-06,19,3,1433116800
2015-07,34,4,1435708800
2015-08,52,5,1438387200
2015-09,26,4,1441065600
2015-10,18,3,1443657600
2015-11,7,4,1446336000
2015-12,51,6,1448928000
2016-01,3,1,1451606400
2016-02,8,4,1454284800
2016-03,27,4,1456790400
2016-04,34,4,1459468800
2016-05,29,6,1462060800
2016-06,37,5,1464739200
2016-07,4,1,1467331200
2016-08,8,3,1470009600
2016-09,30,4,1472688000
2016-10,49,2,1475280000
2016-11,49,4,1477958400
2016-12,103,5,1480550400
2017-01,73,4,1483228800
2017-02,43,5,1485907200
2017-03,79,3,1488326400
2017-04,4,1,1491004800
2017-05,6,1,1493596800
2017-06,13,2,1496275200
2017-07,1,1,1498867200
2017-08,1,1,1501545600
2017-12,1,1,1512086400
2018-01,5,1,1514764800
2018-03,29,4,1519862400
2018-04,4,2,1522540800
2018-05,11,2,1525132800
2018-06,6,2,1527811200
2018-07,26,2,1530403200
2018-08,27,4,1533081600
2018-09,17,3,1535760000
2018-10,16,5,1538352000
2018-11,25,4,1541030400
2018-12,26,5,1543622400
2019-01,39,4,1546300800
2019-02,24,4,1548979200
