YYYY-MM,nCommits,nAuthors,timestamp
2006-03,27,1,1141171200
2006-04,43,1,1143849600
2006-05,48,1,1146441600
2006-06,53,1,1149120000
2006-07,62,1,1151712000
2006-08,44,1,1154390400
2006-09,55,1,1157068800
2006-10,23,1,1159660800
2006-11,35,1,1162339200
2006-12,53,2,1164931200
2007-01,31,1,1167609600
2007-02,80,3,1170288000
2007-03,49,1,1172707200
2007-04,33,3,1175385600
2007-05,50,3,1177977600
2007-06,40,3,1180656000
2007-07,40,4,1183248000
2007-09,17,2,1188604800
2007-10,30,2,1191196800
2007-11,7,3,1193875200
2007-12,38,5,1196467200
2008-01,79,3,1199145600
2008-02,139,4,1201824000
2008-03,85,6,1204329600
2008-04,86,5,1207008000
2008-05,39,2,1209600000
2008-06,15,2,1212278400
2008-07,43,3,1214870400
2008-09,17,2,1220227200
2008-10,33,3,1222819200
2008-11,36,4,1225497600
2008-12,24,1,1228089600
2009-01,33,3,1230768000
2009-02,41,2,1233446400
2009-03,71,2,1235865600
2009-04,67,3,1238544000
2009-05,126,7,1241136000
2009-06,96,4,1243814400
2009-07,67,4,1246406400
2009-08,81,2,1249084800
2009-09,38,1,1251763200
2009-10,53,3,1254355200
2009-11,89,4,1257033600
2009-12,116,5,1259625600
2010-01,42,2,1262304000
2010-02,112,2,1264982400
2010-03,155,3,1267401600
2010-04,106,5,1270080000
2010-05,102,3,1272672000
2010-06,163,2,1275350400
2010-07,176,5,1277942400
2010-08,126,4,1280620800
2010-09,87,5,1283299200
2010-10,92,4,1285891200
2010-11,83,5,1288569600
2010-12,39,5,1291161600
2011-01,67,5,1293840000
2011-02,136,8,1296518400
2011-03,130,4,1298937600
2011-04,127,4,1301616000
2011-05,126,5,1304208000
2011-06,78,5,1306886400
2011-07,204,5,1309478400
2011-08,106,5,1312156800
2011-09,135,5,1314835200
2011-10,220,4,1317427200
2011-11,221,4,1320105600
2011-12,140,4,1322697600
2012-01,283,5,1325376000
2012-02,294,4,1328054400
2012-03,231,6,1330560000
2012-04,175,4,1333238400
2012-05,218,4,1335830400
2012-06,184,5,1338508800
2012-07,250,5,1341100800
2012-08,159,6,1343779200
2012-09,139,6,1346457600
2012-10,267,7,1349049600
2012-11,230,5,1351728000
2012-12,99,9,1354320000
2013-01,204,9,1356998400
2013-02,242,6,1359676800
2013-03,171,6,1362096000
2013-04,198,4,1364774400
2013-05,181,8,1367366400
2013-06,180,8,1370044800
2013-07,226,7,1372636800
2013-08,93,5,1375315200
2013-09,136,6,1377993600
2013-10,284,7,1380585600
2013-11,274,7,1383264000
2013-12,55,6,1385856000
2014-01,233,7,1388534400
2014-02,272,6,1391212800
2014-03,304,6,1393632000
2014-04,249,6,1396310400
2014-05,312,7,1398902400
2014-06,184,7,1401580800
2014-07,205,7,1404172800
2014-08,131,7,1406851200
2014-09,109,6,1409529600
2014-10,167,6,1412121600
2014-11,215,6,1414800000
2014-12,81,6,1417392000
2015-01,53,7,1420070400
2015-02,111,5,1422748800
2015-03,124,4,1425168000
2015-04,97,5,1427846400
2015-05,71,6,1430438400
2015-06,74,4,1433116800
2015-07,135,4,1435708800
2015-08,66,3,1438387200
2015-09,74,5,1441065600
2015-10,138,6,1443657600
2015-11,152,5,1446336000
2015-12,76,7,1448928000
2016-01,68,3,1451606400
2016-02,74,5,1454284800
2016-03,55,3,1456790400
2016-04,42,4,1459468800
2016-05,16,3,1462060800
2016-06,18,2,1464739200
2016-07,26,3,1467331200
2016-08,28,3,1470009600
2016-09,35,2,1472688000
2016-10,20,2,1475280000
2016-11,30,2,1477958400
2016-12,52,2,1480550400
2017-01,19,3,1483228800
2017-02,43,4,1485907200
2017-03,58,2,1488326400
2017-04,28,4,1491004800
2017-05,51,4,1493596800
2017-06,56,3,1496275200
2017-07,54,4,1498867200
2017-08,25,3,1501545600
2017-09,42,4,1504224000
2017-10,84,7,1506816000
2017-11,87,7,1509494400
2017-12,37,4,1512086400
2018-01,47,5,1514764800
2018-02,31,5,1517443200
2018-03,43,4,1519862400
2018-04,36,3,1522540800
2018-05,19,2,1525132800
2018-06,35,2,1527811200
2018-07,50,4,1530403200
2018-08,59,6,1533081600
2018-09,39,4,1535760000
2018-10,47,7,1538352000
2018-11,27,5,1541030400
2018-12,6,2,1543622400
2019-01,25,5,1546300800
2019-02,44,5,1548979200
2019-03,54,4,1551398400
2019-04,54,1,1554076800
2019-05,4,3,1556668800
2019-06,25,4,1559347200
2019-07,14,2,1561939200
2019-08,12,1,1564617600
2019-09,5,1,1567296000
2019-10,2,1,1569888000
2019-11,10,2,1572566400
2019-12,7,2,1575158400
2020-01,9,3,1577836800
2020-02,19,5,1580515200
2020-03,6,3,1583020800
2020-04,8,4,1585699200
2020-05,14,4,1588291200
2020-06,19,4,1590969600
2020-07,2,2,1593561600
