YYYY-MM,nCommits,nAuthors,timestamp
2010-07,3,1,1277942400
2010-08,3,2,1280620800
2010-09,6,2,1283299200
2010-11,4,2,1288569600
2010-12,5,2,1291161600
2011-01,1,1,1293840000
2011-02,3,2,1296518400
2011-03,7,2,1298937600
2011-04,15,4,1301616000
2011-05,1,1,1304208000
2011-06,32,5,1306886400
2011-07,9,2,1309478400
2011-08,11,7,1312156800
2011-10,1,1,1317427200
2011-11,11,5,1320105600
2011-12,10,4,1322697600
2012-01,2,1,1325376000
2012-02,12,2,1328054400
2012-03,6,2,1330560000
2012-04,9,7,1333238400
2012-05,16,8,1335830400
2012-06,8,6,1338508800
2012-07,8,4,1341100800
2012-08,10,5,1343779200
2012-09,4,2,1346457600
2012-11,10,5,1351728000
2012-12,7,4,1354320000
2013-01,18,9,1356998400
2013-02,15,9,1359676800
2013-03,9,8,1362096000
2013-04,13,9,1364774400
2013-05,23,13,1367366400
2013-06,52,11,1370044800
2013-07,9,5,1372636800
2013-08,21,6,1375315200
2013-09,17,8,1377993600
2013-10,27,13,1380585600
2013-11,17,7,1383264000
2013-12,12,5,1385856000
2014-01,26,12,1388534400
2014-02,10,10,1391212800
2014-03,7,5,1393632000
2014-04,39,10,1396310400
2014-05,25,10,1398902400
2014-06,12,9,1401580800
2014-07,14,7,1404172800
2014-08,10,5,1406851200
2014-09,9,5,1409529600
2014-10,16,7,1412121600
2014-11,1,1,1414800000
2014-12,7,6,1417392000
2015-01,30,11,1420070400
2015-02,2,1,1422748800
2015-03,5,3,1425168000
2015-04,17,8,1427846400
2015-05,12,6,1430438400
2015-06,10,7,1433116800
2015-07,2,2,1435708800
2015-08,19,6,1438387200
2015-09,6,4,1441065600
2015-10,23,10,1443657600
2015-11,22,12,1446336000
2015-12,17,9,1448928000
2016-01,7,3,1451606400
2016-02,9,7,1454284800
2016-03,3,2,1456790400
2016-04,6,3,1459468800
2016-05,12,4,1462060800
2016-06,9,4,1464739200
2016-08,5,2,1470009600
2016-09,6,4,1472688000
2016-10,5,3,1475280000
2016-11,4,3,1477958400
2016-12,6,5,1480550400
2017-01,10,9,1483228800
2017-03,4,4,1488326400
2017-05,8,3,1493596800
2017-06,25,15,1496275200
2017-07,1,1,1498867200
2017-08,4,4,1501545600
2017-09,5,4,1504224000
2017-10,10,4,1506816000
2017-11,2,2,1509494400
2017-12,3,3,1512086400
2018-02,18,14,1517443200
2018-03,3,3,1519862400
2018-04,2,1,1522540800
2018-05,9,5,1525132800
2018-06,8,6,1527811200
2018-07,2,2,1530403200
2018-08,13,7,1533081600
2018-09,17,13,1535760000
2018-11,4,3,1541030400
2019-01,22,16,1546300800
2019-04,12,11,1554076800
2019-06,4,2,1559347200
2019-07,1,1,1561939200
2019-08,13,12,1564617600
2019-11,1,1,1572566400
2019-12,3,2,1575158400
2020-01,1,1,1577836800
2020-02,12,11,1580515200
2020-04,3,3,1585699200
2020-05,20,7,1588291200
2020-06,2,2,1590969600
2020-07,3,3,1593561600
