YYYY-MM,nCommits,nAuthors,timestamp
2001-01,3,1,978307200
2001-04,3,1,986083200
2001-05,2,1,988675200
2004-06,5,2,1086048000
2004-07,53,1,1088640000
2004-08,44,1,1091318400
2004-09,2,1,1093996800
2004-10,15,1,1096588800
2004-11,3,1,1099267200
2005-01,4,1,1104537600
2005-02,2,1,1107216000
2005-03,1,1,1109635200
2005-04,57,3,1112313600
2005-05,64,3,1114905600
2005-06,120,4,1117584000
2005-07,107,3,1120176000
2005-08,12,3,1122854400
2005-09,12,2,1125532800
2005-10,5,1,1128124800
2005-11,6,1,1130803200
2005-12,45,1,1133395200
2006-01,27,1,1136073600
2006-02,123,2,1138752000
2006-03,36,2,1141171200
2006-04,22,1,1143849600
2006-05,20,3,1146441600
2006-06,5,1,1149120000
2006-07,6,1,1151712000
2006-08,49,2,1154390400
2006-09,49,1,1157068800
2006-10,60,3,1159660800
2006-11,16,1,1162339200
2006-12,29,1,1164931200
2007-01,67,2,1167609600
2007-02,80,5,1170288000
2007-03,186,5,1172707200
2007-04,17,2,1175385600
2007-05,36,2,1177977600
2007-06,75,1,1180656000
2007-07,116,1,1183248000
2007-08,191,2,1185926400
2007-09,109,1,1188604800
2007-10,134,2,1191196800
2007-11,154,3,1193875200
2007-12,137,6,1196467200
2008-01,253,10,1199145600
2008-02,50,4,1201824000
2008-03,272,9,1204329600
2008-04,361,5,1207008000
2008-05,318,1,1209600000
2008-06,181,1,1212278400
2008-07,230,5,1214870400
2008-08,222,2,1217548800
2008-09,114,4,1220227200
2008-10,336,3,1222819200
2008-11,352,3,1225497600
2008-12,303,3,1228089600
2009-01,347,2,1230768000
2009-02,160,3,1233446400
2009-03,516,2,1235865600
2009-04,355,2,1238544000
2009-05,245,2,1241136000
2009-06,400,4,1243814400
2009-07,324,4,1246406400
2009-08,294,3,1249084800
2009-09,381,3,1251763200
2009-10,388,3,1254355200
2009-11,222,3,1257033600
2009-12,137,3,1259625600
2010-01,98,3,1262304000
2010-02,229,4,1264982400
2010-03,478,4,1267401600
2010-04,270,5,1270080000
2010-05,244,4,1272672000
2010-06,300,10,1275350400
2010-07,334,11,1277942400
2010-08,254,8,1280620800
2010-09,222,7,1283299200
2010-10,321,9,1285891200
2010-11,407,13,1288569600
2010-12,245,9,1291161600
2011-01,319,12,1293840000
2011-02,460,17,1296518400
2011-03,539,16,1298937600
2011-04,428,13,1301616000
2011-05,498,12,1304208000
2011-06,704,14,1306886400
2011-07,480,12,1309478400
2011-08,673,13,1312156800
2011-09,530,17,1314835200
2011-10,461,19,1317427200
2011-11,327,18,1320105600
2011-12,361,17,1322697600
2012-01,399,18,1325376000
2012-02,549,18,1328054400
2012-03,445,20,1330560000
2012-04,583,17,1333238400
2012-05,974,33,1335830400
2012-06,988,24,1338508800
