YYYY-MM,nCommits,nAuthors,timestamp
2016-02,112,11,1454284800
2016-03,202,20,1456790400
2016-04,136,19,1459468800
2016-05,103,20,1462060800
2016-06,142,15,1464739200
2016-07,133,18,1467331200
2016-08,98,15,1470009600
2016-09,178,19,1472688000
2016-10,290,19,1475280000
2016-11,101,19,1477958400
2016-12,227,17,1480550400
2017-01,321,22,1483228800
2017-02,111,22,1485907200
2017-03,166,18,1488326400
2017-04,300,19,1491004800
2017-05,150,12,1493596800
2017-06,227,22,1496275200
2017-07,197,19,1498867200
2017-08,345,21,1501545600
2017-09,166,16,1504224000
2017-10,227,19,1506816000
2017-11,338,22,1509494400
2017-12,333,18,1512086400
2018-01,137,19,1514764800
2018-02,118,16,1517443200
2018-03,88,19,1519862400
2018-04,140,20,1522540800
2018-05,107,17,1525132800
2018-06,105,18,1527811200
2018-07,142,18,1530403200
2018-08,55,13,1533081600
2018-09,70,11,1535760000
2018-10,69,16,1538352000
2018-11,150,18,1541030400
2018-12,111,18,1543622400
2019-01,131,14,1546300800
2019-02,52,11,1548979200
2019-03,114,15,1551398400
2019-04,339,11,1554076800
2019-05,417,16,1556668800
2019-06,436,17,1559347200
2019-07,108,8,1561939200
2019-08,187,12,1564617600
2019-09,533,15,1567296000
2019-10,261,15,1569888000
2019-11,317,20,1572566400
2019-12,338,16,1575158400
2020-01,520,18,1577836800
2020-02,318,17,1580515200
2020-03,433,17,1583020800
2020-04,468,18,1585699200
2020-05,182,12,1588291200
2020-06,453,18,1590969600
2020-07,391,23,1593561600
2020-08,88,15,1596240000
2020-09,61,8,1598918400
