YYYY-MM,nCommits,nAuthors,timestamp
2015-05,100,2,1430438400
2015-06,169,3,1433116800
2015-07,254,3,1435708800
2015-08,329,3,1438387200
2015-09,104,3,1441065600
2015-10,79,2,1443657600
2015-11,164,2,1446336000
2015-12,136,3,1448928000
2016-01,106,3,1451606400
2016-02,35,3,1454284800
2016-03,51,3,1456790400
2016-04,174,8,1459468800
2016-05,139,4,1462060800
2016-06,57,5,1464739200
2016-07,135,7,1467331200
2016-08,328,16,1470009600
2016-09,88,7,1472688000
2016-10,72,8,1475280000
2016-11,65,9,1477958400
2016-12,47,7,1480550400
2017-01,124,10,1483228800
2017-02,219,5,1485907200
2017-03,205,6,1488326400
2017-04,145,5,1491004800
2017-05,69,3,1493596800
2017-06,90,7,1496275200
2017-07,54,4,1498867200
2017-08,73,2,1501545600
2017-09,108,5,1504224000
2017-10,135,7,1506816000
2017-11,189,7,1509494400
2017-12,103,6,1512086400
2018-01,95,7,1514764800
2018-02,42,8,1517443200
2018-03,70,13,1519862400
2018-04,111,13,1522540800
2018-05,77,5,1525132800
2018-06,63,3,1527811200
2018-07,49,6,1530403200
2018-08,62,6,1533081600
2018-09,83,7,1535760000
2018-10,33,7,1538352000
2018-11,15,3,1541030400
2018-12,39,3,1543622400
2019-01,22,4,1546300800
2019-02,43,6,1548979200
2019-03,49,4,1551398400
2019-04,38,7,1554076800
2019-05,74,11,1556668800
2019-06,75,11,1559347200
2019-07,77,12,1561939200
2019-08,10,8,1564617600
2019-09,20,8,1567296000
2019-10,18,7,1569888000
2019-11,6,6,1572566400
2019-12,6,3,1575158400
2020-01,3,3,1577836800
2020-02,1,1,1580515200
2020-03,5,3,1583020800
2020-04,2,2,1585699200
2020-05,1,1,1588291200
2020-06,2,2,1590969600
2020-07,4,1,1593561600
