YYYY-MM,nCommits,nAuthors,timestamp
2013-06,22,3,1370044800
2013-07,319,6,1372636800
2013-08,706,15,1375315200
2013-09,508,14,1377993600
2013-10,213,10,1380585600
2013-11,216,9,1383264000
2013-12,45,3,1385856000
2014-01,101,6,1388534400
2014-02,302,12,1391212800
2014-03,169,8,1393632000
2014-04,91,7,1396310400
2014-05,63,4,1398902400
2014-06,304,7,1401580800
2014-07,228,9,1404172800
2014-08,384,8,1406851200
2014-09,459,9,1409529600
2014-10,254,5,1412121600
2014-11,186,5,1414800000
2014-12,149,5,1417392000
2015-01,82,2,1420070400
2015-02,154,5,1422748800
2015-03,138,5,1425168000
2015-04,102,7,1427846400
2015-05,108,6,1430438400
2015-06,101,4,1433116800
2015-07,41,4,1435708800
2015-08,47,1,1438387200
2015-09,94,10,1441065600
2015-10,122,10,1443657600
2015-11,137,8,1446336000
2015-12,144,10,1448928000
2016-01,9,3,1451606400
2016-02,4,2,1454284800
2016-03,5,2,1456790400
2016-04,42,2,1459468800
2016-05,16,2,1462060800
2016-06,6,1,1464739200
2016-07,13,2,1467331200
2016-08,27,3,1470009600
2016-10,39,3,1475280000
2016-11,19,3,1477958400
2016-12,13,5,1480550400
2017-01,21,1,1483228800
2017-02,121,8,1485907200
2017-03,214,5,1488326400
2017-04,61,5,1491004800
2017-05,94,7,1493596800
2017-06,72,7,1496275200
2017-07,116,5,1498867200
2017-08,67,4,1501545600
2017-09,49,5,1504224000
2017-10,35,5,1506816000
2017-11,119,3,1509494400
2017-12,57,6,1512086400
2018-01,84,7,1514764800
2018-02,57,3,1517443200
2018-03,152,7,1519862400
2018-04,92,5,1522540800
2018-05,89,6,1525132800
2018-06,29,3,1527811200
2018-07,46,5,1530403200
2018-08,59,3,1533081600
2018-09,109,4,1535760000
2018-10,39,5,1538352000
2018-11,29,3,1541030400
2018-12,31,4,1543622400
2019-01,10,4,1546300800
2019-02,37,5,1548979200
2019-03,23,4,1551398400
2019-04,35,5,1554076800
2019-05,27,3,1556668800
2019-06,21,6,1559347200
2019-07,89,6,1561939200
2019-08,20,7,1564617600
2019-09,13,4,1567296000
2019-10,24,8,1569888000
2019-11,6,3,1572566400
2019-12,42,3,1575158400
2020-01,11,7,1577836800
2020-02,4,4,1580515200
2020-03,10,3,1583020800
2020-04,10,3,1585699200
2020-05,6,2,1588291200
2020-06,2,1,1590969600
2020-07,22,2,1593561600
2020-08,16,5,1596240000
