YYYY-MM,nCommits,nAuthors,timestamp
2015-02,3,1,1422748800
2015-03,12,8,1425168000
2015-04,195,34,1427846400
2015-05,145,22,1430438400
2015-06,145,22,1433116800
2015-07,158,20,1435708800
2015-08,173,25,1438387200
2015-09,157,22,1441065600
2015-10,164,33,1443657600
2015-11,188,28,1446336000
2015-12,58,16,1448928000
2016-01,113,23,1451606400
2016-02,93,19,1454284800
2016-03,91,19,1456790400
2016-04,50,17,1459468800
2016-05,82,16,1462060800
2016-06,108,20,1464739200
2016-07,104,20,1467331200
2016-08,71,18,1470009600
2016-09,65,12,1472688000
2016-10,119,24,1475280000
2016-11,254,56,1477958400
2016-12,193,46,1480550400
2017-01,121,20,1483228800
2017-02,103,25,1485907200
2017-03,194,52,1488326400
2017-04,88,27,1491004800
2017-05,79,21,1493596800
2017-06,727,97,1496275200
2017-07,482,88,1498867200
2017-08,422,65,1501545600
2017-09,394,60,1504224000
2017-10,324,53,1506816000
2017-11,523,119,1509494400
2017-12,1292,197,1512086400
2018-01,1578,211,1514764800
2018-02,1109,206,1517443200
2018-03,893,201,1519862400
2018-04,872,169,1522540800
2018-05,849,177,1525132800
2018-06,582,163,1527811200
2018-07,904,177,1530403200
2018-08,455,119,1533081600
2018-09,283,68,1535760000
2018-10,386,110,1538352000
2018-11,554,152,1541030400
2018-12,509,134,1543622400
2019-01,397,81,1546300800
2019-02,385,83,1548979200
2019-03,303,57,1551398400
2019-04,311,51,1554076800
2019-05,281,58,1556668800
2019-06,117,38,1559347200
2019-07,41,18,1561939200
