YYYY-MM,nCommits,nAuthors,timestamp
2016-08,130,10,1470009600
2016-09,116,7,1472688000
2016-10,298,7,1475280000
2016-11,317,9,1477958400
2016-12,159,11,1480550400
2017-01,213,11,1483228800
2017-02,332,12,1485907200
2017-03,413,13,1488326400
2017-04,198,8,1491004800
2017-05,212,9,1493596800
2017-06,189,14,1496275200
2017-07,273,16,1498867200
2017-08,208,12,1501545600
2017-09,285,15,1504224000
2017-10,216,12,1506816000
2017-11,194,13,1509494400
2017-12,169,14,1512086400
2018-01,205,15,1514764800
2018-02,202,13,1517443200
2018-03,242,12,1519862400
2018-04,216,11,1522540800
2018-05,300,16,1525132800
2018-06,234,10,1527811200
2018-07,260,8,1530403200
2018-08,247,10,1533081600
2018-09,239,13,1535760000
2018-10,187,14,1538352000
2018-11,159,11,1541030400
2018-12,179,11,1543622400
2019-01,387,14,1546300800
2019-02,329,15,1548979200
2019-03,199,9,1551398400
2019-04,99,12,1554076800
2019-05,238,11,1556668800
2019-06,135,12,1559347200
2019-07,235,14,1561939200
2019-08,223,11,1564617600
2019-09,193,10,1567296000
2019-10,156,14,1569888000
2019-11,165,12,1572566400
2019-12,246,15,1575158400
2020-01,316,14,1577836800
2020-02,191,15,1580515200
2020-03,196,17,1583020800
2020-04,303,12,1585699200
2020-05,291,14,1588291200
2020-06,394,14,1590969600
2020-07,307,13,1593561600
2020-08,319,14,1596240000
2020-09,76,10,1598918400
