YYYY-MM,nCommits,nAuthors,timestamp
2001-05,40,1,988675200
2001-06,27,1,991353600
2001-07,14,1,993945600
2001-08,21,2,996624000
2001-09,15,3,999302400
2001-10,13,6,1001894400
2001-11,100,7,1004572800
2001-12,136,6,1007164800
2002-01,270,7,1009843200
2002-02,189,7,1012521600
2002-03,285,8,1014940800
2002-04,312,7,1017619200
2002-05,403,8,1020211200
2002-06,216,8,1022889600
2002-07,20,3,1025481600
2002-08,44,3,1028160000
2002-09,82,4,1030838400
2002-10,88,3,1033430400
2002-11,70,4,1036108800
2002-12,104,4,1038700800
2003-01,130,3,1041379200
2003-02,94,5,1044057600
2003-03,191,7,1046476800
2003-04,45,4,1049155200
2003-05,63,4,1051747200
2003-06,125,5,1054425600
2003-07,160,4,1057017600
2003-08,98,4,1059696000
2003-09,176,3,1062374400
2003-10,159,3,1064966400
2003-11,137,5,1067644800
2003-12,133,5,1070236800
2004-01,113,5,1072915200
2004-02,164,5,1075593600
2004-03,218,5,1078099200
2004-04,207,5,1080777600
2004-05,333,5,1083369600
2004-06,179,5,1086048000
2004-07,35,3,1088640000
2004-08,73,6,1091318400
2004-09,107,4,1093996800
2004-10,96,4,1096588800
2004-11,98,5,1099267200
2004-12,78,4,1101859200
2005-01,73,4,1104537600
2005-02,68,6,1107216000
2005-03,75,3,1109635200
2005-04,103,3,1112313600
2005-05,103,4,1114905600
2005-06,45,3,1117584000
2005-07,14,3,1120176000
2005-08,52,2,1122854400
2005-09,33,2,1125532800
2005-10,80,3,1128124800
2005-11,58,3,1130803200
2005-12,94,2,1133395200
2006-01,190,3,1136073600
2006-02,175,5,1138752000
2006-03,164,5,1141171200
2006-04,237,4,1143849600
2006-05,65,4,1146441600
2006-06,78,4,1149120000
2006-07,47,4,1151712000
2006-08,43,4,1154390400
2006-09,75,4,1157068800
2006-10,72,2,1159660800
2006-11,73,2,1162339200
2006-12,49,1,1164931200
2007-01,81,3,1167609600
2007-02,81,3,1170288000
2007-03,91,4,1172707200
2007-04,99,2,1175385600
2007-05,77,1,1177977600
2007-06,52,2,1180656000
2007-07,77,3,1183248000
2007-08,19,3,1185926400
2007-09,51,2,1188604800
2007-10,27,2,1191196800
2007-11,27,4,1193875200
2007-12,9,2,1196467200
2008-01,35,5,1199145600
2008-02,31,3,1201824000
2008-03,15,3,1204329600
2008-04,66,4,1207008000
2008-05,33,2,1209600000
2008-06,11,4,1212278400
2008-07,48,3,1214870400
2008-08,50,4,1217548800
2008-09,35,3,1220227200
2008-10,28,1,1222819200
2008-11,24,1,1225497600
2008-12,18,4,1228089600
2009-01,49,3,1230768000
2009-02,61,3,1233446400
2009-03,63,2,1235865600
2009-04,41,4,1238544000
2009-05,17,4,1241136000
2009-06,10,3,1243814400
2009-07,14,4,1246406400
2009-08,27,5,1249084800
2009-09,32,3,1251763200
2009-10,24,5,1254355200
2009-11,17,3,1257033600
2009-12,16,3,1259625600
2010-01,27,2,1262304000
2010-02,38,3,1264982400
2010-03,47,4,1267401600
2010-04,41,5,1270080000
2010-05,22,4,1272672000
2010-06,18,3,1275350400
2010-07,17,5,1277942400
2010-08,32,3,1280620800
2010-09,19,3,1283299200
2010-10,20,5,1285891200
2010-11,17,4,1288569600
2010-12,16,2,1291161600
2011-01,28,5,1293840000
2011-02,31,4,1296518400
2011-03,10,2,1298937600
2011-04,22,3,1301616000
2011-05,21,4,1304208000
2011-07,3,2,1309478400
2011-08,6,3,1312156800
2011-09,4,2,1314835200
2011-10,14,4,1317427200
2011-11,13,4,1320105600
2011-12,8,4,1322697600
2012-01,7,4,1325376000
2012-02,23,9,1328054400
2012-03,73,10,1330560000
2012-04,12,6,1333238400
2012-05,15,8,1335830400
2012-06,16,9,1338508800
2012-07,20,7,1341100800
2012-08,12,5,1343779200
2012-09,4,3,1346457600
2012-10,12,2,1349049600
2012-11,31,9,1351728000
2012-12,8,3,1354320000
2013-01,16,7,1356998400
2013-02,50,11,1359676800
2013-03,25,6,1362096000
2013-04,70,12,1364774400
2013-05,15,3,1367366400
2013-06,160,11,1370044800
2013-07,13,3,1372636800
2013-08,19,7,1375315200
2013-09,6,2,1377993600
2013-10,69,16,1380585600
2013-11,15,6,1383264000
2013-12,2,1,1385856000
2014-01,30,7,1388534400
2014-02,6,3,1391212800
2014-04,1,1,1396310400
2014-05,16,10,1398902400
2014-06,11,6,1401580800
2014-07,25,5,1404172800
2014-08,52,14,1406851200
2014-09,1,1,1409529600
2014-10,10,5,1412121600
2014-11,57,7,1414800000
2014-12,16,5,1417392000
2015-01,20,9,1420070400
2015-02,77,11,1422748800
2015-03,3,2,1425168000
2015-04,3,3,1427846400
2015-05,25,7,1430438400
2015-06,12,3,1433116800
2015-07,69,14,1435708800
2015-08,108,10,1438387200
2015-09,23,7,1441065600
2015-10,22,7,1443657600
2015-11,68,11,1446336000
2015-12,17,5,1448928000
2016-01,6,5,1451606400
2016-02,14,5,1454284800
2016-03,174,11,1456790400
2016-04,162,21,1459468800
2016-05,17,9,1462060800
2016-06,74,12,1464739200
2016-07,127,8,1467331200
2016-08,119,11,1470009600
2016-09,74,15,1472688000
2016-10,421,19,1475280000
2016-11,144,10,1477958400
