YYYY-MM,nCommits,nAuthors,timestamp
2009-01,60,2,1230768000
2009-02,13,2,1233446400
2009-03,18,3,1235865600
2009-04,70,2,1238544000
2009-05,47,3,1241136000
2009-06,29,2,1243814400
2009-07,18,3,1246406400
2009-08,37,4,1249084800
2009-09,161,5,1251763200
2009-10,103,5,1254355200
2009-11,170,6,1257033600
2009-12,32,5,1259625600
2010-01,67,7,1262304000
2010-02,91,8,1264982400
2010-03,127,6,1267401600
2010-04,54,5,1270080000
2010-05,122,7,1272672000
2010-06,40,6,1275350400
2010-07,46,8,1277942400
2010-08,24,6,1280620800
2010-09,60,6,1283299200
2010-10,215,8,1285891200
2010-11,141,8,1288569600
2010-12,83,8,1291161600
2011-01,174,10,1293840000
2011-02,185,10,1296518400
2011-03,249,12,1298937600
2011-04,111,10,1301616000
2011-05,119,10,1304208000
2011-06,131,12,1306886400
2011-07,199,13,1309478400
2011-08,274,12,1312156800
2011-09,113,9,1314835200
2011-10,88,11,1317427200
2011-11,113,10,1320105600
2011-12,90,13,1322697600
2012-01,167,14,1325376000
2012-02,277,14,1328054400
2012-03,248,14,1330560000
2012-04,125,12,1333238400
2012-05,191,12,1335830400
2012-06,147,12,1338508800
2012-07,122,11,1341100800
2012-08,158,12,1343779200
2012-09,86,9,1346457600
2012-10,142,10,1349049600
2012-11,146,13,1351728000
2012-12,70,10,1354320000
2013-01,103,11,1356998400
2013-02,156,10,1359676800
2013-03,233,12,1362096000
2013-04,193,10,1364774400
2013-05,189,10,1367366400
2013-06,146,13,1370044800
2013-07,144,14,1372636800
2013-08,214,16,1375315200
2013-09,149,14,1377993600
2013-10,174,12,1380585600
2013-11,163,9,1383264000
2013-12,78,8,1385856000
2014-01,80,10,1388534400
2014-02,179,10,1391212800
2014-03,152,11,1393632000
2014-04,137,9,1396310400
2014-05,89,9,1398902400
2014-06,67,10,1401580800
2014-07,123,11,1404172800
2014-08,115,8,1406851200
2014-09,179,9,1409529600
2014-10,203,11,1412121600
2014-11,109,12,1414800000
2014-12,135,10,1417392000
2015-01,103,10,1420070400
2015-02,80,10,1422748800
2015-03,102,9,1425168000
2015-04,116,8,1427846400
2015-05,140,11,1430438400
2015-06,112,10,1433116800
2015-07,192,7,1435708800
2015-08,193,10,1438387200
2015-09,124,7,1441065600
2015-10,300,11,1443657600
2015-11,322,13,1446336000
2015-12,160,10,1448928000
2016-01,98,11,1451606400
2016-02,250,9,1454284800
2016-03,212,8,1456790400
2016-04,186,8,1459468800
2016-05,272,12,1462060800
2016-06,202,12,1464739200
2016-07,288,11,1467331200
2016-08,346,11,1470009600
2016-09,306,11,1472688000
2016-10,458,10,1475280000
2016-11,182,11,1477958400
2016-12,136,10,1480550400
2017-01,248,9,1483228800
2017-02,174,10,1485907200
2017-03,220,8,1488326400
2017-04,140,10,1491004800
2017-05,270,7,1493596800
2017-06,220,10,1496275200
2017-07,234,10,1498867200
2017-08,214,11,1501545600
2017-09,158,10,1504224000
2017-10,220,10,1506816000
2017-11,80,10,1509494400
