YYYY-MM,nCommits,nAuthors,timestamp
2005-06,2,2,1117584000
2005-09,140,12,1125532800
2005-10,105,8,1128124800
2005-11,63,7,1130803200
2005-12,443,7,1133395200
2006-01,529,13,1136073600
2006-02,118,10,1138752000
2006-03,33,6,1141171200
2006-04,40,5,1143849600
2006-05,110,7,1146441600
2006-06,86,6,1149120000
2006-07,92,7,1151712000
2006-08,108,5,1154390400
2006-09,46,4,1157068800
2006-10,54,8,1159660800
2006-11,78,8,1162339200
2006-12,105,8,1164931200
2007-01,107,4,1167609600
2007-02,63,4,1170288000
2007-03,113,4,1172707200
2007-04,67,5,1175385600
2007-05,81,4,1177977600
2007-06,27,3,1180656000
2007-07,87,3,1183248000
2007-08,112,6,1185926400
2007-09,75,4,1188604800
2007-10,43,5,1191196800
2007-11,20,3,1193875200
2007-12,16,4,1196467200
2008-01,59,5,1199145600
2008-02,77,4,1201824000
2008-03,54,6,1204329600
2008-04,5,2,1207008000
2008-05,47,5,1209600000
2008-06,59,5,1212278400
2008-07,79,5,1214870400
2008-08,14,4,1217548800
2008-09,31,4,1220227200
2008-10,27,2,1222819200
2008-11,22,4,1225497600
2008-12,15,3,1228089600
2009-01,15,3,1230768000
2009-02,36,4,1233446400
2009-03,19,2,1235865600
2009-04,18,3,1238544000
2009-05,36,3,1241136000
2009-06,36,4,1243814400
2009-07,43,3,1246406400
2009-08,2,1,1249084800
2009-11,2,2,1257033600
2009-12,1,1,1259625600
2010-03,6,1,1267401600
2010-07,26,2,1277942400
2010-08,11,4,1280620800
2010-09,20,4,1283299200
2010-12,2,1,1291161600
2011-01,2,1,1293840000
2011-03,1,1,1298937600
2011-04,12,2,1301616000
2011-05,16,3,1304208000
2011-06,1,1,1306886400
2011-07,3,1,1309478400
2011-08,2,1,1312156800
2011-09,1,1,1314835200
