YYYY-MM,nCommits,nAuthors,timestamp
2014-04,1,1,1396310400
2015-01,11,1,1420070400
2015-02,24,1,1422748800
2015-03,48,1,1425168000
2015-04,38,1,1427846400
2015-05,32,5,1430438400
2015-06,93,8,1433116800
2015-07,72,3,1435708800
2015-08,72,6,1438387200
2015-09,111,5,1441065600
2015-10,38,1,1443657600
2015-11,73,1,1446336000
2015-12,75,1,1448928000
2016-01,76,3,1451606400
2016-02,122,3,1454284800
2016-03,112,3,1456790400
2016-04,26,4,1459468800
2016-05,147,3,1462060800
2016-06,103,3,1464739200
2016-07,63,4,1467331200
2016-08,100,3,1470009600
2016-09,104,3,1472688000
2016-10,132,4,1475280000
2016-11,141,3,1477958400
2016-12,229,3,1480550400
2017-01,103,4,1483228800
2017-02,166,4,1485907200
2017-03,144,4,1488326400
2017-04,138,8,1491004800
2017-05,143,8,1493596800
2017-06,114,4,1496275200
2017-07,168,5,1498867200
2017-08,71,4,1501545600
2017-09,67,6,1504224000
2017-10,90,10,1506816000
2017-11,139,9,1509494400
2017-12,31,8,1512086400
2018-01,125,6,1514764800
2018-02,103,7,1517443200
2018-03,66,9,1519862400
2018-04,86,4,1522540800
2018-05,79,20,1525132800
2018-06,79,15,1527811200
2018-07,79,14,1530403200
2018-08,103,18,1533081600
2018-09,205,30,1535760000
2018-10,168,32,1538352000
2018-11,184,27,1541030400
2018-12,246,26,1543622400
2019-01,109,19,1546300800
2019-02,220,41,1548979200
2019-03,249,22,1551398400
2019-04,220,36,1554076800
2019-05,190,23,1556668800
2019-06,126,30,1559347200
2019-07,215,19,1561939200
2019-08,97,21,1564617600
2019-09,197,35,1567296000
2019-10,192,18,1569888000
2019-11,142,26,1572566400
2019-12,91,22,1575158400
2020-01,165,20,1577836800
2020-02,262,25,1580515200
2020-03,214,22,1583020800
2020-04,334,21,1585699200
2020-05,329,41,1588291200
2020-06,347,36,1590969600
2020-07,245,23,1593561600
2020-08,221,36,1596240000
2020-09,116,31,1598918400
