YYYY-MM,nCommits,nAuthors,timestamp
2004-10,6,2,1096588800
2004-11,183,35,1099267200
2004-12,73,26,1101859200
2005-01,99,31,1104537600
2005-02,100,39,1107216000
2005-03,85,38,1109635200
2005-04,83,31,1112313600
2005-05,85,25,1114905600
2005-06,44,22,1117584000
2005-07,43,16,1120176000
2005-08,217,21,1122854400
2005-09,96,28,1125532800
2005-10,96,58,1128124800
2005-11,30,11,1130803200
2005-12,37,12,1133395200
2006-01,40,22,1136073600
2006-02,60,30,1138752000
2006-03,33,21,1141171200
2006-04,45,23,1143849600
2006-05,50,18,1146441600
2006-06,66,27,1149120000
2006-07,228,73,1151712000
2006-08,66,32,1154390400
2006-09,38,21,1157068800
2006-10,53,23,1159660800
2006-11,59,25,1162339200
2006-12,14,10,1164931200
2007-01,23,17,1167609600
2007-02,39,23,1170288000
2007-03,147,22,1172707200
2007-04,83,22,1175385600
2007-05,334,21,1177977600
2007-06,126,43,1180656000
2007-07,60,24,1183248000
2007-08,104,34,1185926400
2007-09,104,31,1188604800
2007-10,76,32,1191196800
2007-11,39,22,1193875200
2007-12,43,17,1196467200
2008-01,70,29,1199145600
2008-02,37,20,1201824000
2008-03,83,35,1204329600
2008-04,36,16,1207008000
2008-05,51,23,1209600000
2008-06,54,26,1212278400
2008-07,38,24,1214870400
2008-08,557,20,1217548800
2008-09,57,25,1220227200
2008-10,29,16,1222819200
2008-11,29,15,1225497600
2008-12,54,26,1228089600
2009-01,57,26,1230768000
2009-02,107,30,1233446400
2009-03,102,34,1235865600
2009-04,68,33,1238544000
2009-05,58,23,1241136000
2009-06,160,25,1243814400
2009-07,163,24,1246406400
2009-08,91,35,1249084800
2009-09,66,29,1251763200
2009-10,87,34,1254355200
2009-11,121,30,1257033600
2009-12,49,16,1259625600
2010-01,71,29,1262304000
2010-02,47,25,1264982400
2010-03,125,30,1267401600
2010-04,25,16,1270080000
2010-05,113,35,1272672000
2010-06,56,18,1275350400
2010-07,64,18,1277942400
2010-08,55,17,1280620800
2010-09,106,32,1283299200
2010-10,107,39,1285891200
2010-11,94,22,1288569600
2010-12,24,13,1291161600
2011-01,23,19,1293840000
2011-02,86,34,1296518400
2011-03,105,24,1298937600
2011-04,53,17,1301616000
2011-05,99,25,1304208000
2011-06,37,18,1306886400
2011-07,98,28,1309478400
2011-08,104,23,1312156800
2011-09,69,20,1314835200
2011-10,50,16,1317427200
2011-11,48,23,1320105600
2011-12,43,20,1322697600
2012-01,234,33,1325376000
2012-02,73,23,1328054400
2012-03,271,26,1330560000
2012-04,56,26,1333238400
2012-05,195,31,1335830400
2012-06,225,23,1338508800
2012-07,128,23,1341100800
2012-08,65,17,1343779200
2012-09,67,7,1346457600
2012-10,165,7,1349049600
2012-11,86,4,1351728000
2012-12,78,6,1354320000
2013-01,309,8,1356998400
2013-02,43,6,1359676800
2013-03,22,7,1362096000
2013-04,33,7,1364774400
2013-05,1839,16,1367366400
2013-06,100,20,1370044800
2013-07,122,19,1372636800
2013-08,29,12,1375315200
2013-09,192,12,1377993600
2013-10,42,11,1380585600
2013-11,25,6,1383264000
2013-12,29,11,1385856000
2014-01,37,14,1388534400
2014-02,84,16,1391212800
2014-03,84,12,1393632000
2014-04,35,11,1396310400
2014-05,17,8,1398902400
2014-06,61,14,1401580800
2014-07,36,8,1404172800
2014-08,17,7,1406851200
2014-09,57,13,1409529600
2014-10,52,10,1412121600
2014-11,66,16,1414800000
2014-12,37,11,1417392000
2015-01,36,8,1420070400
2015-02,29,10,1422748800
2015-03,32,14,1425168000
2015-04,27,10,1427846400
2015-05,11,6,1430438400
2015-06,18,6,1433116800
2015-07,27,11,1435708800
2015-08,25,10,1438387200
2015-09,55,9,1441065600
2015-10,14,6,1443657600
2015-11,28,6,1446336000
2015-12,15,7,1448928000
2016-01,45,12,1451606400
2016-02,156,12,1454284800
2016-03,9,6,1456790400
2016-04,22,11,1459468800
2016-05,23,9,1462060800
2016-06,66,11,1464739200
2016-07,27,9,1467331200
2016-08,25,6,1470009600
2016-09,13,5,1472688000
2016-10,6,4,1475280000
2016-11,16,7,1477958400
2016-12,5,3,1480550400
2017-01,38,10,1483228800
2017-02,11,4,1485907200
2017-03,29,9,1488326400
2017-04,18,6,1491004800
2017-05,27,10,1493596800
2017-06,7,4,1496275200
2017-07,17,8,1498867200
2017-08,17,7,1501545600
2017-09,30,10,1504224000
2017-10,10,5,1506816000
2017-11,12,4,1509494400
2017-12,15,7,1512086400
2018-01,11,7,1514764800
2018-02,5,4,1517443200
2018-03,31,9,1519862400
2018-04,18,9,1522540800
2018-05,28,9,1525132800
2018-06,54,11,1527811200
2018-07,10,3,1530403200
2018-08,15,7,1533081600
2018-09,7,6,1535760000
2018-10,15,6,1538352000
2018-11,7,7,1541030400
2018-12,7,3,1543622400
2019-01,14,6,1546300800
2019-02,42,7,1548979200
2019-03,54,7,1551398400
2019-04,23,6,1554076800
2019-05,10,6,1556668800
2019-06,19,8,1559347200
2019-07,8,7,1561939200
2019-08,32,10,1564617600
2019-09,37,7,1567296000
2019-10,15,7,1569888000
2019-11,14,5,1572566400
2019-12,20,4,1575158400
2020-01,96,7,1577836800
2020-02,14,3,1580515200
2020-03,18,4,1583020800
2020-04,20,5,1585699200
2020-05,6,3,1588291200
