YYYY-MM,nCommits,nAuthors,timestamp
2005-04,30,5,1112313600
2005-05,202,10,1114905600
2005-06,93,8,1117584000
2005-07,311,15,1120176000
2005-08,149,16,1122854400
2005-09,126,13,1125532800
2005-10,280,19,1128124800
2005-11,175,16,1130803200
2005-12,218,25,1133395200
2006-01,201,22,1136073600
2006-02,390,19,1138752000
2006-03,399,25,1141171200
2006-04,451,22,1143849600
2006-05,413,21,1146441600
2006-06,325,24,1149120000
2006-07,584,32,1151712000
2006-08,685,33,1154390400
2006-09,771,31,1157068800
2006-10,1027,37,1159660800
2006-11,867,41,1162339200
2006-12,682,35,1164931200
2007-01,995,41,1167609600
2007-02,635,35,1170288000
2007-03,834,48,1172707200
2007-04,920,49,1175385600
2007-05,870,44,1177977600
2007-06,576,44,1180656000
2007-07,862,44,1183248000
2007-08,924,50,1185926400
2007-09,663,46,1188604800
2007-10,828,43,1191196800
2007-11,695,48,1193875200
2007-12,623,50,1196467200
2008-01,459,33,1199145600
2008-02,615,40,1201824000
2008-03,819,45,1204329600
2008-04,556,49,1207008000
2008-05,507,42,1209600000
2008-06,434,45,1212278400
2008-07,632,40,1214870400
2008-08,537,39,1217548800
2008-09,499,39,1220227200
2008-10,1002,52,1222819200
2008-11,955,42,1225497600
2008-12,830,50,1228089600
2009-01,682,55,1230768000
2009-02,647,49,1233446400
2009-03,635,50,1235865600
2009-04,701,45,1238544000
2009-05,635,55,1241136000
2009-06,580,50,1243814400
2009-07,860,52,1246406400
2009-08,861,52,1249084800
2009-09,643,49,1251763200
2009-10,670,46,1254355200
2009-11,881,61,1257033600
2009-12,652,49,1259625600
2010-01,733,46,1262304000
2010-02,866,51,1264982400
2010-03,1120,51,1267401600
2010-04,1083,52,1270080000
2010-05,611,46,1272672000
2010-06,611,50,1275350400
2010-07,516,44,1277942400
2010-08,817,46,1280620800
2010-09,929,48,1283299200
2010-10,632,49,1285891200
2010-11,572,59,1288569600
2010-12,698,54,1291161600
2011-01,772,52,1293840000
2011-02,977,69,1296518400
2011-03,1196,70,1298937600
2011-04,1059,57,1301616000
2011-05,1005,58,1304208000
2011-06,902,53,1306886400
2011-07,942,57,1309478400
2011-08,790,49,1312156800
2011-09,1229,65,1314835200
2011-10,1767,70,1317427200
2011-11,1100,57,1320105600
2011-12,1130,55,1322697600
2012-01,1754,59,1325376000
2012-02,1058,50,1328054400
2012-03,992,63,1330560000
2012-04,874,66,1333238400
2012-05,1108,68,1335830400
2012-06,1199,55,1338508800
2012-07,1160,54,1341100800
2012-08,1139,58,1343779200
2012-09,942,46,1346457600
2012-10,1005,50,1349049600
2012-11,664,49,1351728000
2012-12,606,47,1354320000
2013-01,912,53,1356998400
2013-02,723,53,1359676800
2013-03,1066,67,1362096000
2013-04,1129,51,1364774400
2013-05,686,48,1367366400
2013-06,888,55,1370044800
2013-07,489,43,1372636800
2013-08,665,45,1375315200
2013-09,1613,49,1377993600
2013-10,1020,54,1380585600
2013-11,1190,45,1383264000
2013-12,770,51,1385856000
2014-01,593,56,1388534400
2014-02,751,50,1391212800
2014-03,567,52,1393632000
2014-04,501,40,1396310400
2014-05,613,40,1398902400
2014-06,714,43,1401580800
2014-07,459,44,1404172800
2014-08,453,42,1406851200
2014-09,503,42,1409529600
2014-10,852,48,1412121600
2014-11,600,46,1414800000
2014-12,566,48,1417392000
2015-01,359,46,1420070400
2015-02,370,39,1422748800
2015-03,639,50,1425168000
2015-04,606,45,1427846400
2015-05,904,49,1430438400
2015-06,818,54,1433116800
2015-07,602,40,1435708800
2015-08,333,38,1438387200
2015-09,574,46,1441065600
2015-10,192,29,1443657600
